City,Category,Link,page_status,status_code,update_time
batawa,Basement Renovation,https://homestars.com/on/batawa/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Bathroom Renovation,https://homestars.com/on/batawa/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Condominium Renovations,https://homestars.com/on/batawa/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Decks,https://homestars.com/on/batawa/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Demolition,https://homestars.com/on/batawa/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/batawa/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Historical Restoration,https://homestars.com/on/batawa/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Home Additions,https://homestars.com/on/batawa/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Home Inspection,https://homestars.com/on/batawa/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Home Office Renovation,https://homestars.com/on/batawa/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Kitchen Planning & Renovation,https://homestars.com/on/batawa/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Renovation Cleaning,https://homestars.com/on/batawa/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Architects,https://homestars.com/on/batawa/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Builders,https://homestars.com/on/batawa/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Concrete Contractors,https://homestars.com/on/batawa/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Design/Build,https://homestars.com/on/batawa/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Design/Project Management,https://homestars.com/on/batawa/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Drafting Service,https://homestars.com/on/batawa/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,General Contractors,https://homestars.com/on/batawa/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Renovation Advisors,https://homestars.com/on/batawa/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Structural Engineering,https://homestars.com/on/batawa/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Surveyors,https://homestars.com/on/batawa/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/batawa/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Cabinetry & Millwork,https://homestars.com/on/batawa/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Carpenters,https://homestars.com/on/batawa/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Closet & Storage Solutions,https://homestars.com/on/batawa/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Decks,https://homestars.com/on/batawa/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/batawa/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Framing,https://homestars.com/on/batawa/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/batawa/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Railings,https://homestars.com/on/batawa/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T05:10:06Z
batawa,Stair Builders,https://homestars.com/on/batawa/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
batawa,Woodworking,https://homestars.com/on/batawa/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:10:06Z
