City,Category,Link,page_status,status_code,update_time
beaver dam,Basement Renovation,https://homestars.com/on/beaver%20dam/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Bathroom Renovation,https://homestars.com/on/beaver%20dam/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Condominium Renovations,https://homestars.com/on/beaver%20dam/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Decks,https://homestars.com/on/beaver%20dam/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Demolition,https://homestars.com/on/beaver%20dam/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/beaver%20dam/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Historical Restoration,https://homestars.com/on/beaver%20dam/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Home Additions,https://homestars.com/on/beaver%20dam/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Home Inspection,https://homestars.com/on/beaver%20dam/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Home Office Renovation,https://homestars.com/on/beaver%20dam/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Kitchen Planning & Renovation,https://homestars.com/on/beaver%20dam/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Renovation Cleaning,https://homestars.com/on/beaver%20dam/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Architects,https://homestars.com/on/beaver%20dam/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Builders,https://homestars.com/on/beaver%20dam/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Concrete Contractors,https://homestars.com/on/beaver%20dam/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Design/Build,https://homestars.com/on/beaver%20dam/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Design/Project Management,https://homestars.com/on/beaver%20dam/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Drafting Service,https://homestars.com/on/beaver%20dam/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,General Contractors,https://homestars.com/on/beaver%20dam/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Renovation Advisors,https://homestars.com/on/beaver%20dam/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Structural Engineering,https://homestars.com/on/beaver%20dam/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Surveyors,https://homestars.com/on/beaver%20dam/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/beaver%20dam/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Cabinetry & Millwork,https://homestars.com/on/beaver%20dam/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Carpenters,https://homestars.com/on/beaver%20dam/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Closet & Storage Solutions,https://homestars.com/on/beaver%20dam/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
beaver dam,Decks,https://homestars.com/on/beaver%20dam/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T05:47:25Z
