City,Category,Link,page_status,status_code,update_time
brighton,Basement Renovation,https://homestars.com/on/brighton/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Bathroom Renovation,https://homestars.com/on/brighton/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Condominium Renovations,https://homestars.com/on/brighton/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Decks,https://homestars.com/on/brighton/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Demolition,https://homestars.com/on/brighton/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/brighton/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Historical Restoration,https://homestars.com/on/brighton/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Home Additions,https://homestars.com/on/brighton/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Home Inspection,https://homestars.com/on/brighton/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Home Office Renovation,https://homestars.com/on/brighton/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Kitchen Planning & Renovation,https://homestars.com/on/brighton/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Renovation Cleaning,https://homestars.com/on/brighton/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Architects,https://homestars.com/on/brighton/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Builders,https://homestars.com/on/brighton/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Concrete Contractors,https://homestars.com/on/brighton/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Design/Build,https://homestars.com/on/brighton/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Design/Project Management,https://homestars.com/on/brighton/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Drafting Service,https://homestars.com/on/brighton/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,General Contractors,https://homestars.com/on/brighton/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:07:30Z
brighton,Renovation Advisors,https://homestars.com/on/brighton/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Structural Engineering,https://homestars.com/on/brighton/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Surveyors,https://homestars.com/on/brighton/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/brighton/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Cabinetry & Millwork,https://homestars.com/on/brighton/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
brighton,Carpenters,https://homestars.com/on/brighton/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:07:30Z
