City,Category,Link,page_status,status_code,update_time
brownsburg chatham,Basement Renovation,https://homestars.com/on/brownsburg%20chatham/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Bathroom Renovation,https://homestars.com/on/brownsburg%20chatham/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Condominium Renovations,https://homestars.com/on/brownsburg%20chatham/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Decks,https://homestars.com/on/brownsburg%20chatham/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Demolition,https://homestars.com/on/brownsburg%20chatham/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/brownsburg%20chatham/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Historical Restoration,https://homestars.com/on/brownsburg%20chatham/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Home Additions,https://homestars.com/on/brownsburg%20chatham/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Home Inspection,https://homestars.com/on/brownsburg%20chatham/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Home Office Renovation,https://homestars.com/on/brownsburg%20chatham/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Kitchen Planning & Renovation,https://homestars.com/on/brownsburg%20chatham/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Renovation Cleaning,https://homestars.com/on/brownsburg%20chatham/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
brownsburg chatham,Architects,https://homestars.com/on/brownsburg%20chatham/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:42:06Z
