City,Category,Link,page_status,status_code,update_time
buckhorn,Basement Renovation,https://homestars.com/on/buckhorn/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Bathroom Renovation,https://homestars.com/on/buckhorn/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Condominium Renovations,https://homestars.com/on/buckhorn/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Decks,https://homestars.com/on/buckhorn/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:52:34Z
buckhorn,Demolition,https://homestars.com/on/buckhorn/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/buckhorn/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Historical Restoration,https://homestars.com/on/buckhorn/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Home Additions,https://homestars.com/on/buckhorn/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Home Inspection,https://homestars.com/on/buckhorn/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Home Office Renovation,https://homestars.com/on/buckhorn/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Kitchen Planning & Renovation,https://homestars.com/on/buckhorn/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Renovation Cleaning,https://homestars.com/on/buckhorn/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Architects,https://homestars.com/on/buckhorn/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Builders,https://homestars.com/on/buckhorn/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:52:34Z
buckhorn,Concrete Contractors,https://homestars.com/on/buckhorn/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:52:34Z
buckhorn,Design/Build,https://homestars.com/on/buckhorn/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Design/Project Management,https://homestars.com/on/buckhorn/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,Drafting Service,https://homestars.com/on/buckhorn/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
buckhorn,General Contractors,https://homestars.com/on/buckhorn/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T09:52:34Z
buckhorn,Renovation Advisors,https://homestars.com/on/buckhorn/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T09:52:34Z
