City,Category,Link,page_status,status_code,update_time
capreol,Basement Renovation,https://homestars.com/on/capreol/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Bathroom Renovation,https://homestars.com/on/capreol/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Condominium Renovations,https://homestars.com/on/capreol/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Decks,https://homestars.com/on/capreol/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,Demolition,https://homestars.com/on/capreol/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/capreol/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Historical Restoration,https://homestars.com/on/capreol/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Home Additions,https://homestars.com/on/capreol/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Home Inspection,https://homestars.com/on/capreol/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,Home Office Renovation,https://homestars.com/on/capreol/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Kitchen Planning & Renovation,https://homestars.com/on/capreol/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Renovation Cleaning,https://homestars.com/on/capreol/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Architects,https://homestars.com/on/capreol/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Builders,https://homestars.com/on/capreol/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Concrete Contractors,https://homestars.com/on/capreol/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Design/Build,https://homestars.com/on/capreol/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Design/Project Management,https://homestars.com/on/capreol/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Drafting Service,https://homestars.com/on/capreol/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,General Contractors,https://homestars.com/on/capreol/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,Renovation Advisors,https://homestars.com/on/capreol/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,Structural Engineering,https://homestars.com/on/capreol/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Surveyors,https://homestars.com/on/capreol/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/capreol/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Cabinetry & Millwork,https://homestars.com/on/capreol/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Carpenters,https://homestars.com/on/capreol/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Closet & Storage Solutions,https://homestars.com/on/capreol/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Decks,https://homestars.com/on/capreol/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/capreol/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Framing,https://homestars.com/on/capreol/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/capreol/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Railings,https://homestars.com/on/capreol/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:17:49Z
capreol,Stair Builders,https://homestars.com/on/capreol/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Woodworking,https://homestars.com/on/capreol/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Blinds Cleaning & Repairing,https://homestars.com/on/capreol/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/capreol/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Drapery & Upholstery Cleaning,https://homestars.com/on/capreol/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Duct Cleaning,https://homestars.com/on/capreol/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Fire & Water Damage Restoration,https://homestars.com/on/capreol/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,House & Apartment Cleaning,https://homestars.com/on/capreol/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,House Cleaning Exteriors,https://homestars.com/on/capreol/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Junk Removal,https://homestars.com/on/capreol/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Renovation Cleaning,https://homestars.com/on/capreol/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/capreol/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Tile and Grout Cleaning,https://homestars.com/on/capreol/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Window & Gutter Cleaning,https://homestars.com/on/capreol/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Chimney Build & Repair,https://homestars.com/on/capreol/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Chimney Sweeps,https://homestars.com/on/capreol/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Interlocking Stone,https://homestars.com/on/capreol/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
capreol,Masonry & Bricklaying,https://homestars.com/on/capreol/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:17:49Z
