City,Category,Link,page_status,status_code,update_time
daysland,Basement Renovation,https://homestars.com/on/daysland/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Bathroom Renovation,https://homestars.com/on/daysland/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Condominium Renovations,https://homestars.com/on/daysland/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Decks,https://homestars.com/on/daysland/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Demolition,https://homestars.com/on/daysland/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/daysland/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Historical Restoration,https://homestars.com/on/daysland/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Home Additions,https://homestars.com/on/daysland/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Home Inspection,https://homestars.com/on/daysland/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Home Office Renovation,https://homestars.com/on/daysland/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Kitchen Planning & Renovation,https://homestars.com/on/daysland/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Renovation Cleaning,https://homestars.com/on/daysland/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Architects,https://homestars.com/on/daysland/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Builders,https://homestars.com/on/daysland/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Concrete Contractors,https://homestars.com/on/daysland/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Design/Build,https://homestars.com/on/daysland/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Design/Project Management,https://homestars.com/on/daysland/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Drafting Service,https://homestars.com/on/daysland/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,General Contractors,https://homestars.com/on/daysland/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Renovation Advisors,https://homestars.com/on/daysland/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Structural Engineering,https://homestars.com/on/daysland/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Surveyors,https://homestars.com/on/daysland/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/daysland/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Cabinetry & Millwork,https://homestars.com/on/daysland/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Carpenters,https://homestars.com/on/daysland/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Closet & Storage Solutions,https://homestars.com/on/daysland/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Decks,https://homestars.com/on/daysland/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/daysland/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Framing,https://homestars.com/on/daysland/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/daysland/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Railings,https://homestars.com/on/daysland/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Stair Builders,https://homestars.com/on/daysland/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Woodworking,https://homestars.com/on/daysland/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Blinds Cleaning & Repairing,https://homestars.com/on/daysland/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/daysland/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
daysland,Drapery & Upholstery Cleaning,https://homestars.com/on/daysland/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T15:46:27Z
