City,Category,Link,page_status,status_code,update_time
deux montagnes,Basement Renovation,https://homestars.com/on/deux%20montagnes/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Bathroom Renovation,https://homestars.com/on/deux%20montagnes/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Condominium Renovations,https://homestars.com/on/deux%20montagnes/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Decks,https://homestars.com/on/deux%20montagnes/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T16:31:44Z
deux montagnes,Demolition,https://homestars.com/on/deux%20montagnes/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/deux%20montagnes/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Historical Restoration,https://homestars.com/on/deux%20montagnes/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Home Additions,https://homestars.com/on/deux%20montagnes/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Home Inspection,https://homestars.com/on/deux%20montagnes/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Home Office Renovation,https://homestars.com/on/deux%20montagnes/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Kitchen Planning & Renovation,https://homestars.com/on/deux%20montagnes/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T16:31:44Z
deux montagnes,Renovation Cleaning,https://homestars.com/on/deux%20montagnes/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Architects,https://homestars.com/on/deux%20montagnes/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
deux montagnes,Builders,https://homestars.com/on/deux%20montagnes/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T16:31:44Z
