City,Category,Link,page_status,status_code,update_time
duluth,Basement Renovation,https://homestars.com/on/duluth/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Bathroom Renovation,https://homestars.com/on/duluth/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Condominium Renovations,https://homestars.com/on/duluth/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Decks,https://homestars.com/on/duluth/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Demolition,https://homestars.com/on/duluth/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/duluth/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Historical Restoration,https://homestars.com/on/duluth/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Home Additions,https://homestars.com/on/duluth/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Home Inspection,https://homestars.com/on/duluth/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
duluth,Home Office Renovation,https://homestars.com/on/duluth/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T17:38:17Z
