City,Category,Link,page_status,status_code,update_time
east tawas,Basement Renovation,https://homestars.com/on/east%20tawas/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Bathroom Renovation,https://homestars.com/on/east%20tawas/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Condominium Renovations,https://homestars.com/on/east%20tawas/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Decks,https://homestars.com/on/east%20tawas/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Demolition,https://homestars.com/on/east%20tawas/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/east%20tawas/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Historical Restoration,https://homestars.com/on/east%20tawas/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Home Additions,https://homestars.com/on/east%20tawas/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Home Inspection,https://homestars.com/on/east%20tawas/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Home Office Renovation,https://homestars.com/on/east%20tawas/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Kitchen Planning & Renovation,https://homestars.com/on/east%20tawas/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Renovation Cleaning,https://homestars.com/on/east%20tawas/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
east tawas,Architects,https://homestars.com/on/east%20tawas/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:21:24Z
