City,Category,Link,page_status,status_code,update_time
exeter,Basement Renovation,https://homestars.com/on/exeter/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Bathroom Renovation,https://homestars.com/on/exeter/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Condominium Renovations,https://homestars.com/on/exeter/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Decks,https://homestars.com/on/exeter/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
exeter,Demolition,https://homestars.com/on/exeter/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
exeter,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/exeter/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Historical Restoration,https://homestars.com/on/exeter/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Home Additions,https://homestars.com/on/exeter/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Home Inspection,https://homestars.com/on/exeter/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Home Office Renovation,https://homestars.com/on/exeter/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Kitchen Planning & Renovation,https://homestars.com/on/exeter/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Renovation Cleaning,https://homestars.com/on/exeter/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Architects,https://homestars.com/on/exeter/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Builders,https://homestars.com/on/exeter/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
exeter,Concrete Contractors,https://homestars.com/on/exeter/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
exeter,Design/Build,https://homestars.com/on/exeter/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Design/Project Management,https://homestars.com/on/exeter/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:45:50Z
exeter,Drafting Service,https://homestars.com/on/exeter/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
exeter,General Contractors,https://homestars.com/on/exeter/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T12:45:50Z
