City,Category,Link,page_status,status_code,update_time
fort mackay,Basement Renovation,https://homestars.com/on/fort%20mackay/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Bathroom Renovation,https://homestars.com/on/fort%20mackay/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Condominium Renovations,https://homestars.com/on/fort%20mackay/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Decks,https://homestars.com/on/fort%20mackay/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Demolition,https://homestars.com/on/fort%20mackay/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort%20mackay/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Historical Restoration,https://homestars.com/on/fort%20mackay/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Home Additions,https://homestars.com/on/fort%20mackay/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Home Inspection,https://homestars.com/on/fort%20mackay/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Home Office Renovation,https://homestars.com/on/fort%20mackay/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Kitchen Planning & Renovation,https://homestars.com/on/fort%20mackay/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Renovation Cleaning,https://homestars.com/on/fort%20mackay/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Architects,https://homestars.com/on/fort%20mackay/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Builders,https://homestars.com/on/fort%20mackay/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Concrete Contractors,https://homestars.com/on/fort%20mackay/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
fort mackay,Design/Build,https://homestars.com/on/fort%20mackay/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:47:44Z
