City,Category,Link,page_status,status_code,update_time
grant-town,Basement Renovation,https://homestars.com/on/grant-town/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Bathroom Renovation,https://homestars.com/on/grant-town/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Condominium Renovations,https://homestars.com/on/grant-town/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Decks,https://homestars.com/on/grant-town/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Demolition,https://homestars.com/on/grant-town/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/grant-town/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Historical Restoration,https://homestars.com/on/grant-town/historical-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Home Additions,https://homestars.com/on/grant-town/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Home Inspection,https://homestars.com/on/grant-town/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Home Office Renovation,https://homestars.com/on/grant-town/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Kitchen Planning & Renovation,https://homestars.com/on/grant-town/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Renovation Cleaning,https://homestars.com/on/grant-town/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Architects,https://homestars.com/on/grant-town/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Builders,https://homestars.com/on/grant-town/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Concrete Contractors,https://homestars.com/on/grant-town/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Design/Build,https://homestars.com/on/grant-town/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Design/Project Management,https://homestars.com/on/grant-town/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Drafting Service,https://homestars.com/on/grant-town/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,General Contractors,https://homestars.com/on/grant-town/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Renovation Advisors,https://homestars.com/on/grant-town/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Structural Engineering,https://homestars.com/on/grant-town/structural-engineering,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Surveyors,https://homestars.com/on/grant-town/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/grant-town/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Cabinetry & Millwork,https://homestars.com/on/grant-town/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Carpenters,https://homestars.com/on/grant-town/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Closet & Storage Solutions,https://homestars.com/on/grant-town/closet-storage-solutions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Decks,https://homestars.com/on/grant-town/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/grant-town/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Framing,https://homestars.com/on/grant-town/framing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/grant-town/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Railings,https://homestars.com/on/grant-town/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Stair Builders,https://homestars.com/on/grant-town/stair-builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Woodworking,https://homestars.com/on/grant-town/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Blinds Cleaning & Repairing,https://homestars.com/on/grant-town/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T16:43:51Z
grant-town,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/grant-town/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Drapery & Upholstery Cleaning,https://homestars.com/on/grant-town/drapery-upholstery-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Duct Cleaning,https://homestars.com/on/grant-town/duct-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Fire & Water Damage Restoration,https://homestars.com/on/grant-town/fire-water-damage-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,House & Apartment Cleaning,https://homestars.com/on/grant-town/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,House Cleaning Exteriors,https://homestars.com/on/grant-town/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
grant-town,Junk Removal,https://homestars.com/on/grant-town/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T16:43:51Z
