City,Category,Link,page_status,status_code,update_time
honey-harbour,Basement Renovation,https://homestars.com/on/honey-harbour/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Bathroom Renovation,https://homestars.com/on/honey-harbour/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Condominium Renovations,https://homestars.com/on/honey-harbour/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Decks,https://homestars.com/on/honey-harbour/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Demolition,https://homestars.com/on/honey-harbour/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/honey-harbour/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Historical Restoration,https://homestars.com/on/honey-harbour/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Home Additions,https://homestars.com/on/honey-harbour/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Home Inspection,https://homestars.com/on/honey-harbour/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Home Office Renovation,https://homestars.com/on/honey-harbour/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Kitchen Planning & Renovation,https://homestars.com/on/honey-harbour/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Renovation Cleaning,https://homestars.com/on/honey-harbour/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Architects,https://homestars.com/on/honey-harbour/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Builders,https://homestars.com/on/honey-harbour/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Concrete Contractors,https://homestars.com/on/honey-harbour/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Design/Build,https://homestars.com/on/honey-harbour/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Design/Project Management,https://homestars.com/on/honey-harbour/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Drafting Service,https://homestars.com/on/honey-harbour/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,General Contractors,https://homestars.com/on/honey-harbour/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Renovation Advisors,https://homestars.com/on/honey-harbour/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Structural Engineering,https://homestars.com/on/honey-harbour/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Surveyors,https://homestars.com/on/honey-harbour/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/honey-harbour/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Cabinetry & Millwork,https://homestars.com/on/honey-harbour/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Carpenters,https://homestars.com/on/honey-harbour/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Closet & Storage Solutions,https://homestars.com/on/honey-harbour/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Decks,https://homestars.com/on/honey-harbour/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/honey-harbour/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Framing,https://homestars.com/on/honey-harbour/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/honey-harbour/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Railings,https://homestars.com/on/honey-harbour/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T19:42:44Z
honey-harbour,Stair Builders,https://homestars.com/on/honey-harbour/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Woodworking,https://homestars.com/on/honey-harbour/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
honey-harbour,Blinds Cleaning & Repairing,https://homestars.com/on/honey-harbour/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T19:42:44Z
