City,Category,Link,page_status,status_code,update_time
indian head,Basement Renovation,https://homestars.com/on/indian%20head/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Bathroom Renovation,https://homestars.com/on/indian%20head/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Condominium Renovations,https://homestars.com/on/indian%20head/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Decks,https://homestars.com/on/indian%20head/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Demolition,https://homestars.com/on/indian%20head/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/indian%20head/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Historical Restoration,https://homestars.com/on/indian%20head/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Home Additions,https://homestars.com/on/indian%20head/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Home Inspection,https://homestars.com/on/indian%20head/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Home Office Renovation,https://homestars.com/on/indian%20head/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Kitchen Planning & Renovation,https://homestars.com/on/indian%20head/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Renovation Cleaning,https://homestars.com/on/indian%20head/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Architects,https://homestars.com/on/indian%20head/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Builders,https://homestars.com/on/indian%20head/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Concrete Contractors,https://homestars.com/on/indian%20head/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Design/Build,https://homestars.com/on/indian%20head/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Design/Project Management,https://homestars.com/on/indian%20head/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Drafting Service,https://homestars.com/on/indian%20head/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,General Contractors,https://homestars.com/on/indian%20head/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Renovation Advisors,https://homestars.com/on/indian%20head/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Structural Engineering,https://homestars.com/on/indian%20head/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Surveyors,https://homestars.com/on/indian%20head/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/indian%20head/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
indian head,Cabinetry & Millwork,https://homestars.com/on/indian%20head/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T23:52:59Z
