City,Category,Link,page_status,status_code,update_time
johnstown,Basement Renovation,https://homestars.com/on/johnstown/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Bathroom Renovation,https://homestars.com/on/johnstown/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Condominium Renovations,https://homestars.com/on/johnstown/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Decks,https://homestars.com/on/johnstown/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T21:20:06Z
johnstown,Demolition,https://homestars.com/on/johnstown/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/johnstown/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Historical Restoration,https://homestars.com/on/johnstown/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Home Additions,https://homestars.com/on/johnstown/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Home Inspection,https://homestars.com/on/johnstown/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Home Office Renovation,https://homestars.com/on/johnstown/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Kitchen Planning & Renovation,https://homestars.com/on/johnstown/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Renovation Cleaning,https://homestars.com/on/johnstown/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Architects,https://homestars.com/on/johnstown/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Builders,https://homestars.com/on/johnstown/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Concrete Contractors,https://homestars.com/on/johnstown/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Design/Build,https://homestars.com/on/johnstown/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Design/Project Management,https://homestars.com/on/johnstown/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Drafting Service,https://homestars.com/on/johnstown/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,General Contractors,https://homestars.com/on/johnstown/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Renovation Advisors,https://homestars.com/on/johnstown/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Structural Engineering,https://homestars.com/on/johnstown/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Surveyors,https://homestars.com/on/johnstown/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/johnstown/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Cabinetry & Millwork,https://homestars.com/on/johnstown/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Carpenters,https://homestars.com/on/johnstown/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Closet & Storage Solutions,https://homestars.com/on/johnstown/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Decks,https://homestars.com/on/johnstown/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T21:20:06Z
johnstown,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/johnstown/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Framing,https://homestars.com/on/johnstown/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
johnstown,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/johnstown/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T21:20:06Z
