City,Category,Link,page_status,status_code,update_time
l'etete,Basement Renovation,https://homestars.com/on/l'etete/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Bathroom Renovation,https://homestars.com/on/l'etete/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Condominium Renovations,https://homestars.com/on/l'etete/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Decks,https://homestars.com/on/l'etete/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Demolition,https://homestars.com/on/l'etete/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/l'etete/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Historical Restoration,https://homestars.com/on/l'etete/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Home Additions,https://homestars.com/on/l'etete/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Home Inspection,https://homestars.com/on/l'etete/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Home Office Renovation,https://homestars.com/on/l'etete/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Kitchen Planning & Renovation,https://homestars.com/on/l'etete/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Renovation Cleaning,https://homestars.com/on/l'etete/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Architects,https://homestars.com/on/l'etete/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Builders,https://homestars.com/on/l'etete/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Concrete Contractors,https://homestars.com/on/l'etete/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Design/Build,https://homestars.com/on/l'etete/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Design/Project Management,https://homestars.com/on/l'etete/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Drafting Service,https://homestars.com/on/l'etete/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,General Contractors,https://homestars.com/on/l'etete/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
l'etete,Renovation Advisors,https://homestars.com/on/l'etete/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T23:28:08Z
