City,Category,Link,page_status,status_code,update_time
lower woodstock,Basement Renovation,https://homestars.com/on/lower%20woodstock/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Bathroom Renovation,https://homestars.com/on/lower%20woodstock/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T03:10:31Z
lower woodstock,Condominium Renovations,https://homestars.com/on/lower%20woodstock/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Decks,https://homestars.com/on/lower%20woodstock/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T03:10:31Z
lower woodstock,Demolition,https://homestars.com/on/lower%20woodstock/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/lower%20woodstock/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Historical Restoration,https://homestars.com/on/lower%20woodstock/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Home Additions,https://homestars.com/on/lower%20woodstock/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Home Inspection,https://homestars.com/on/lower%20woodstock/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T03:10:31Z
lower woodstock,Home Office Renovation,https://homestars.com/on/lower%20woodstock/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Kitchen Planning & Renovation,https://homestars.com/on/lower%20woodstock/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Renovation Cleaning,https://homestars.com/on/lower%20woodstock/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T03:10:31Z
lower woodstock,Architects,https://homestars.com/on/lower%20woodstock/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T03:10:31Z
lower woodstock,Builders,https://homestars.com/on/lower%20woodstock/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T03:10:31Z
