City,Category,Link,page_status,status_code,update_time
manchester,Basement Renovation,https://homestars.com/on/manchester/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,Bathroom Renovation,https://homestars.com/on/manchester/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,Condominium Renovations,https://homestars.com/on/manchester/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T01:36:52Z
manchester,Decks,https://homestars.com/on/manchester/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,Demolition,https://homestars.com/on/manchester/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/manchester/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T01:36:52Z
manchester,Historical Restoration,https://homestars.com/on/manchester/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T01:36:52Z
manchester,Home Additions,https://homestars.com/on/manchester/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,Home Inspection,https://homestars.com/on/manchester/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T01:36:52Z
manchester,Home Office Renovation,https://homestars.com/on/manchester/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T01:36:52Z
