City,Category,Link,page_status,status_code,update_time
maple-city,Basement Renovation,https://homestars.com/on/maple-city/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Bathroom Renovation,https://homestars.com/on/maple-city/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Condominium Renovations,https://homestars.com/on/maple-city/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Decks,https://homestars.com/on/maple-city/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Demolition,https://homestars.com/on/maple-city/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/maple-city/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Historical Restoration,https://homestars.com/on/maple-city/historical-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Home Additions,https://homestars.com/on/maple-city/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Home Inspection,https://homestars.com/on/maple-city/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Home Office Renovation,https://homestars.com/on/maple-city/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Kitchen Planning & Renovation,https://homestars.com/on/maple-city/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Renovation Cleaning,https://homestars.com/on/maple-city/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Architects,https://homestars.com/on/maple-city/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Builders,https://homestars.com/on/maple-city/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Concrete Contractors,https://homestars.com/on/maple-city/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Design/Build,https://homestars.com/on/maple-city/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Design/Project Management,https://homestars.com/on/maple-city/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Drafting Service,https://homestars.com/on/maple-city/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,General Contractors,https://homestars.com/on/maple-city/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Renovation Advisors,https://homestars.com/on/maple-city/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Structural Engineering,https://homestars.com/on/maple-city/structural-engineering,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Surveyors,https://homestars.com/on/maple-city/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/maple-city/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Cabinetry & Millwork,https://homestars.com/on/maple-city/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
maple-city,Carpenters,https://homestars.com/on/maple-city/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:26:09Z
