City,Category,Link,page_status,status_code,update_time
margaretsville,Basement Renovation,https://homestars.com/on/margaretsville/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Bathroom Renovation,https://homestars.com/on/margaretsville/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Condominium Renovations,https://homestars.com/on/margaretsville/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Decks,https://homestars.com/on/margaretsville/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T04:34:19Z
margaretsville,Demolition,https://homestars.com/on/margaretsville/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/margaretsville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Historical Restoration,https://homestars.com/on/margaretsville/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Home Additions,https://homestars.com/on/margaretsville/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Home Inspection,https://homestars.com/on/margaretsville/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Home Office Renovation,https://homestars.com/on/margaretsville/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Kitchen Planning & Renovation,https://homestars.com/on/margaretsville/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Renovation Cleaning,https://homestars.com/on/margaretsville/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
margaretsville,Architects,https://homestars.com/on/margaretsville/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T04:34:19Z
