City,Category,Link,page_status,status_code,update_time
merrickville,Basement Renovation,https://homestars.com/on/merrickville/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Bathroom Renovation,https://homestars.com/on/merrickville/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Condominium Renovations,https://homestars.com/on/merrickville/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Decks,https://homestars.com/on/merrickville/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Demolition,https://homestars.com/on/merrickville/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/merrickville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Historical Restoration,https://homestars.com/on/merrickville/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Home Additions,https://homestars.com/on/merrickville/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Home Inspection,https://homestars.com/on/merrickville/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Home Office Renovation,https://homestars.com/on/merrickville/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Kitchen Planning & Renovation,https://homestars.com/on/merrickville/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Renovation Cleaning,https://homestars.com/on/merrickville/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Architects,https://homestars.com/on/merrickville/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Builders,https://homestars.com/on/merrickville/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Concrete Contractors,https://homestars.com/on/merrickville/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Design/Build,https://homestars.com/on/merrickville/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Design/Project Management,https://homestars.com/on/merrickville/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Drafting Service,https://homestars.com/on/merrickville/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,General Contractors,https://homestars.com/on/merrickville/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Renovation Advisors,https://homestars.com/on/merrickville/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Structural Engineering,https://homestars.com/on/merrickville/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Surveyors,https://homestars.com/on/merrickville/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/merrickville/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Cabinetry & Millwork,https://homestars.com/on/merrickville/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Carpenters,https://homestars.com/on/merrickville/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Closet & Storage Solutions,https://homestars.com/on/merrickville/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Decks,https://homestars.com/on/merrickville/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/merrickville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Framing,https://homestars.com/on/merrickville/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
merrickville,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/merrickville/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Railings,https://homestars.com/on/merrickville/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T20:36:10Z
merrickville,Stair Builders,https://homestars.com/on/merrickville/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T20:36:10Z
