City,Category,Link,page_status,status_code,update_time
northern bruce peninsula,Basement Renovation,https://homestars.com/on/northern%20bruce%20peninsula/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Bathroom Renovation,https://homestars.com/on/northern%20bruce%20peninsula/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Condominium Renovations,https://homestars.com/on/northern%20bruce%20peninsula/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Decks,https://homestars.com/on/northern%20bruce%20peninsula/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Demolition,https://homestars.com/on/northern%20bruce%20peninsula/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/northern%20bruce%20peninsula/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Historical Restoration,https://homestars.com/on/northern%20bruce%20peninsula/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Home Additions,https://homestars.com/on/northern%20bruce%20peninsula/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Home Inspection,https://homestars.com/on/northern%20bruce%20peninsula/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
northern bruce peninsula,Home Office Renovation,https://homestars.com/on/northern%20bruce%20peninsula/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:04:25Z
