City,Category,Link,page_status,status_code,update_time
notre dame des prairies,Basement Renovation,https://homestars.com/on/notre%20dame%20des%20prairies/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Bathroom Renovation,https://homestars.com/on/notre%20dame%20des%20prairies/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Condominium Renovations,https://homestars.com/on/notre%20dame%20des%20prairies/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Decks,https://homestars.com/on/notre%20dame%20des%20prairies/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Demolition,https://homestars.com/on/notre%20dame%20des%20prairies/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/notre%20dame%20des%20prairies/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Historical Restoration,https://homestars.com/on/notre%20dame%20des%20prairies/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Home Additions,https://homestars.com/on/notre%20dame%20des%20prairies/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Home Inspection,https://homestars.com/on/notre%20dame%20des%20prairies/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Home Office Renovation,https://homestars.com/on/notre%20dame%20des%20prairies/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Kitchen Planning & Renovation,https://homestars.com/on/notre%20dame%20des%20prairies/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Renovation Cleaning,https://homestars.com/on/notre%20dame%20des%20prairies/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Architects,https://homestars.com/on/notre%20dame%20des%20prairies/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Builders,https://homestars.com/on/notre%20dame%20des%20prairies/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Concrete Contractors,https://homestars.com/on/notre%20dame%20des%20prairies/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Design/Build,https://homestars.com/on/notre%20dame%20des%20prairies/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
notre dame des prairies,Design/Project Management,https://homestars.com/on/notre%20dame%20des%20prairies/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:13:23Z
