City,Category,Link,page_status,status_code,update_time
parkhill,Basement Renovation,https://homestars.com/on/parkhill/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Bathroom Renovation,https://homestars.com/on/parkhill/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Condominium Renovations,https://homestars.com/on/parkhill/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Decks,https://homestars.com/on/parkhill/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Demolition,https://homestars.com/on/parkhill/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/parkhill/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Historical Restoration,https://homestars.com/on/parkhill/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Additions,https://homestars.com/on/parkhill/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Inspection,https://homestars.com/on/parkhill/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Office Renovation,https://homestars.com/on/parkhill/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Kitchen Planning & Renovation,https://homestars.com/on/parkhill/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Renovation Cleaning,https://homestars.com/on/parkhill/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Architects,https://homestars.com/on/parkhill/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Builders,https://homestars.com/on/parkhill/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Concrete Contractors,https://homestars.com/on/parkhill/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Design/Build,https://homestars.com/on/parkhill/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Design/Project Management,https://homestars.com/on/parkhill/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Drafting Service,https://homestars.com/on/parkhill/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,General Contractors,https://homestars.com/on/parkhill/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Renovation Advisors,https://homestars.com/on/parkhill/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Structural Engineering,https://homestars.com/on/parkhill/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Surveyors,https://homestars.com/on/parkhill/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/parkhill/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Cabinetry & Millwork,https://homestars.com/on/parkhill/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Carpenters,https://homestars.com/on/parkhill/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Closet & Storage Solutions,https://homestars.com/on/parkhill/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Decks,https://homestars.com/on/parkhill/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/parkhill/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Framing,https://homestars.com/on/parkhill/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/parkhill/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Railings,https://homestars.com/on/parkhill/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Stair Builders,https://homestars.com/on/parkhill/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Woodworking,https://homestars.com/on/parkhill/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Blinds Cleaning & Repairing,https://homestars.com/on/parkhill/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/parkhill/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Drapery & Upholstery Cleaning,https://homestars.com/on/parkhill/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Duct Cleaning,https://homestars.com/on/parkhill/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Fire & Water Damage Restoration,https://homestars.com/on/parkhill/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,House & Apartment Cleaning,https://homestars.com/on/parkhill/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,House Cleaning Exteriors,https://homestars.com/on/parkhill/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Junk Removal,https://homestars.com/on/parkhill/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Renovation Cleaning,https://homestars.com/on/parkhill/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/parkhill/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Tile and Grout Cleaning,https://homestars.com/on/parkhill/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Window & Gutter Cleaning,https://homestars.com/on/parkhill/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Chimney Build & Repair,https://homestars.com/on/parkhill/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Chimney Sweeps,https://homestars.com/on/parkhill/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Interlocking Stone,https://homestars.com/on/parkhill/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Masonry & Bricklaying,https://homestars.com/on/parkhill/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Tuck Pointing,https://homestars.com/on/parkhill/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Waterproofing,https://homestars.com/on/parkhill/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/parkhill/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,"Game Rooms, Entertainment",https://homestars.com/on/parkhill/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Garage Design & Organization,https://homestars.com/on/parkhill/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Staging,https://homestars.com/on/parkhill/staging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Interior Decorators,https://homestars.com/on/parkhill/interior-decorators,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Interior Design,https://homestars.com/on/parkhill/interior-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/parkhill/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Alarm Systems,https://homestars.com/on/parkhill/alarm-systems,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Appliance Repair,https://homestars.com/on/parkhill/appliance-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Appliance Retailers,https://homestars.com/on/parkhill/appliance-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Computer Repairs and Support,https://homestars.com/on/parkhill/computer-repairs-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Electricians,https://homestars.com/on/parkhill/electricians,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Electronic Repairs,https://homestars.com/on/parkhill/electronic-repairs,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Automation,https://homestars.com/on/parkhill/home-automation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Theater,https://homestars.com/on/parkhill/home-theater,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Lighting,https://homestars.com/on/parkhill/lighting,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Satellite Sales & Service,https://homestars.com/on/parkhill/satellite-sales-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Vacuum Sales & Service,https://homestars.com/on/parkhill/vacuum-sales-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Carpet & Rug Retailers,https://homestars.com/on/parkhill/carpet-rug-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Carpet Installers,https://homestars.com/on/parkhill/carpet-installers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Concrete Contractors,https://homestars.com/on/parkhill/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Decorative Concrete,https://homestars.com/on/parkhill/decorative-concrete,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Floor Laying & Refinishing,https://homestars.com/on/parkhill/floor-laying-refinishing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Floor Retailers,https://homestars.com/on/parkhill/floor-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Interlocking Stone,https://homestars.com/on/parkhill/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Masonry & Bricklaying,https://homestars.com/on/parkhill/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Tile & Stone Contractors,https://homestars.com/on/parkhill/tile-stone-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Tuck Pointing,https://homestars.com/on/parkhill/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Excavation,https://homestars.com/on/parkhill/excavation-demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Foundations,https://homestars.com/on/parkhill/foundations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Interlocking Stone,https://homestars.com/on/parkhill/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Masonry & Bricklaying,https://homestars.com/on/parkhill/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Tuck Pointing,https://homestars.com/on/parkhill/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Waterproofing,https://homestars.com/on/parkhill/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Furniture,https://homestars.com/on/parkhill/furniture,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Furniture Designers & Custom Builders,https://homestars.com/on/parkhill/furniture-designers-custom-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Furniture Refinish & Repair,https://homestars.com/on/parkhill/furniture-refinish-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Furniture Rental,https://homestars.com/on/parkhill/furniture-rental,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Home Staging,https://homestars.com/on/parkhill/staging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Upholsterers,https://homestars.com/on/parkhill/upholsterers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Closet & Storage Solutions,https://homestars.com/on/parkhill/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Garage Design & Organization,https://homestars.com/on/parkhill/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Garage Doors & Hardware,https://homestars.com/on/parkhill/garage-doors-hardware,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T11:42:47Z
parkhill,Junk Removal,https://homestars.com/on/parkhill/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Moving & Storage,https://homestars.com/on/parkhill/moving-storage,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Organizing Products & Services,https://homestars.com/on/parkhill/organizing-products-services,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Electrical Vehicle Charging,https://homestars.com/on/parkhill/electrical-vehicle-charging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Green Products & Services,https://homestars.com/on/parkhill/green-products-services,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
parkhill,Renewable Energy,https://homestars.com/on/parkhill/renewable-energy,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T11:42:47Z
