City,Category,Link,page_status,status_code,update_time
petit forte,Basement Renovation,https://homestars.com/on/petit%20forte/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Bathroom Renovation,https://homestars.com/on/petit%20forte/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Condominium Renovations,https://homestars.com/on/petit%20forte/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Decks,https://homestars.com/on/petit%20forte/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Demolition,https://homestars.com/on/petit%20forte/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/petit%20forte/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Historical Restoration,https://homestars.com/on/petit%20forte/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Home Additions,https://homestars.com/on/petit%20forte/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Home Inspection,https://homestars.com/on/petit%20forte/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Home Office Renovation,https://homestars.com/on/petit%20forte/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Kitchen Planning & Renovation,https://homestars.com/on/petit%20forte/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Renovation Cleaning,https://homestars.com/on/petit%20forte/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Architects,https://homestars.com/on/petit%20forte/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Builders,https://homestars.com/on/petit%20forte/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Concrete Contractors,https://homestars.com/on/petit%20forte/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Design/Build,https://homestars.com/on/petit%20forte/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Design/Project Management,https://homestars.com/on/petit%20forte/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Drafting Service,https://homestars.com/on/petit%20forte/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,General Contractors,https://homestars.com/on/petit%20forte/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Renovation Advisors,https://homestars.com/on/petit%20forte/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Structural Engineering,https://homestars.com/on/petit%20forte/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Surveyors,https://homestars.com/on/petit%20forte/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/petit%20forte/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Cabinetry & Millwork,https://homestars.com/on/petit%20forte/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Carpenters,https://homestars.com/on/petit%20forte/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Closet & Storage Solutions,https://homestars.com/on/petit%20forte/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Decks,https://homestars.com/on/petit%20forte/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/petit%20forte/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Framing,https://homestars.com/on/petit%20forte/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/petit%20forte/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Railings,https://homestars.com/on/petit%20forte/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
petit forte,Stair Builders,https://homestars.com/on/petit%20forte/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T12:20:03Z
