City,Category,Link,page_status,status_code,update_time
sandusky,Basement Renovation,https://homestars.com/on/sandusky/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Bathroom Renovation,https://homestars.com/on/sandusky/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Condominium Renovations,https://homestars.com/on/sandusky/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Decks,https://homestars.com/on/sandusky/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Demolition,https://homestars.com/on/sandusky/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/sandusky/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Historical Restoration,https://homestars.com/on/sandusky/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Home Additions,https://homestars.com/on/sandusky/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Home Inspection,https://homestars.com/on/sandusky/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Home Office Renovation,https://homestars.com/on/sandusky/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Kitchen Planning & Renovation,https://homestars.com/on/sandusky/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Renovation Cleaning,https://homestars.com/on/sandusky/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Architects,https://homestars.com/on/sandusky/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Builders,https://homestars.com/on/sandusky/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Concrete Contractors,https://homestars.com/on/sandusky/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Design/Build,https://homestars.com/on/sandusky/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Design/Project Management,https://homestars.com/on/sandusky/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
sandusky,Drafting Service,https://homestars.com/on/sandusky/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T22:04:24Z
