City,Category,Link,page_status,status_code,update_time
sorel tracy,Basement Renovation,https://homestars.com/on/sorel%20tracy/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Bathroom Renovation,https://homestars.com/on/sorel%20tracy/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Condominium Renovations,https://homestars.com/on/sorel%20tracy/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Decks,https://homestars.com/on/sorel%20tracy/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Demolition,https://homestars.com/on/sorel%20tracy/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/sorel%20tracy/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Historical Restoration,https://homestars.com/on/sorel%20tracy/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Home Additions,https://homestars.com/on/sorel%20tracy/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Home Inspection,https://homestars.com/on/sorel%20tracy/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Home Office Renovation,https://homestars.com/on/sorel%20tracy/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Kitchen Planning & Renovation,https://homestars.com/on/sorel%20tracy/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Renovation Cleaning,https://homestars.com/on/sorel%20tracy/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Architects,https://homestars.com/on/sorel%20tracy/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Builders,https://homestars.com/on/sorel%20tracy/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Concrete Contractors,https://homestars.com/on/sorel%20tracy/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Design/Build,https://homestars.com/on/sorel%20tracy/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Design/Project Management,https://homestars.com/on/sorel%20tracy/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Drafting Service,https://homestars.com/on/sorel%20tracy/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,General Contractors,https://homestars.com/on/sorel%20tracy/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T04:56:28Z
sorel tracy,Renovation Advisors,https://homestars.com/on/sorel%20tracy/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Structural Engineering,https://homestars.com/on/sorel%20tracy/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Surveyors,https://homestars.com/on/sorel%20tracy/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/sorel%20tracy/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Cabinetry & Millwork,https://homestars.com/on/sorel%20tracy/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
sorel tracy,Carpenters,https://homestars.com/on/sorel%20tracy/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T04:56:28Z
