City,Category,Link,page_status,status_code,update_time
spring lake,Basement Renovation,https://homestars.com/on/spring%20lake/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Bathroom Renovation,https://homestars.com/on/spring%20lake/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Condominium Renovations,https://homestars.com/on/spring%20lake/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Decks,https://homestars.com/on/spring%20lake/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Demolition,https://homestars.com/on/spring%20lake/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/spring%20lake/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Historical Restoration,https://homestars.com/on/spring%20lake/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Home Additions,https://homestars.com/on/spring%20lake/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Home Inspection,https://homestars.com/on/spring%20lake/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Home Office Renovation,https://homestars.com/on/spring%20lake/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Kitchen Planning & Renovation,https://homestars.com/on/spring%20lake/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Renovation Cleaning,https://homestars.com/on/spring%20lake/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Architects,https://homestars.com/on/spring%20lake/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Builders,https://homestars.com/on/spring%20lake/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Concrete Contractors,https://homestars.com/on/spring%20lake/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Design/Build,https://homestars.com/on/spring%20lake/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Design/Project Management,https://homestars.com/on/spring%20lake/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Drafting Service,https://homestars.com/on/spring%20lake/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,General Contractors,https://homestars.com/on/spring%20lake/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Renovation Advisors,https://homestars.com/on/spring%20lake/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Structural Engineering,https://homestars.com/on/spring%20lake/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Surveyors,https://homestars.com/on/spring%20lake/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/spring%20lake/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Cabinetry & Millwork,https://homestars.com/on/spring%20lake/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Carpenters,https://homestars.com/on/spring%20lake/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Closet & Storage Solutions,https://homestars.com/on/spring%20lake/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
spring lake,Decks,https://homestars.com/on/spring%20lake/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:34:13Z
