City,Category,Link,page_status,status_code,update_time
sudbury,Basement Renovation,https://homestars.com/on/sudbury/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Bathroom Renovation,https://homestars.com/on/sudbury/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Condominium Renovations,https://homestars.com/on/sudbury/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Decks,https://homestars.com/on/sudbury/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Demolition,https://homestars.com/on/sudbury/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/sudbury/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Historical Restoration,https://homestars.com/on/sudbury/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Home Additions,https://homestars.com/on/sudbury/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Home Inspection,https://homestars.com/on/sudbury/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Home Office Renovation,https://homestars.com/on/sudbury/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Kitchen Planning & Renovation,https://homestars.com/on/sudbury/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Renovation Cleaning,https://homestars.com/on/sudbury/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Architects,https://homestars.com/on/sudbury/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Builders,https://homestars.com/on/sudbury/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Concrete Contractors,https://homestars.com/on/sudbury/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Design/Build,https://homestars.com/on/sudbury/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Design/Project Management,https://homestars.com/on/sudbury/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Drafting Service,https://homestars.com/on/sudbury/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,General Contractors,https://homestars.com/on/sudbury/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Renovation Advisors,https://homestars.com/on/sudbury/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Structural Engineering,https://homestars.com/on/sudbury/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Surveyors,https://homestars.com/on/sudbury/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/sudbury/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Cabinetry & Millwork,https://homestars.com/on/sudbury/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Carpenters,https://homestars.com/on/sudbury/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Closet & Storage Solutions,https://homestars.com/on/sudbury/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Decks,https://homestars.com/on/sudbury/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/sudbury/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Framing,https://homestars.com/on/sudbury/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/sudbury/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Railings,https://homestars.com/on/sudbury/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Stair Builders,https://homestars.com/on/sudbury/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Woodworking,https://homestars.com/on/sudbury/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Blinds Cleaning & Repairing,https://homestars.com/on/sudbury/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/sudbury/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Drapery & Upholstery Cleaning,https://homestars.com/on/sudbury/drapery-upholstery-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Duct Cleaning,https://homestars.com/on/sudbury/duct-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Fire & Water Damage Restoration,https://homestars.com/on/sudbury/fire-water-damage-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,House & Apartment Cleaning,https://homestars.com/on/sudbury/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,House Cleaning Exteriors,https://homestars.com/on/sudbury/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Junk Removal,https://homestars.com/on/sudbury/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Renovation Cleaning,https://homestars.com/on/sudbury/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/sudbury/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Tile and Grout Cleaning,https://homestars.com/on/sudbury/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Window & Gutter Cleaning,https://homestars.com/on/sudbury/window-gutter-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Chimney Build & Repair,https://homestars.com/on/sudbury/chimney-build-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Chimney Sweeps,https://homestars.com/on/sudbury/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Interlocking Stone,https://homestars.com/on/sudbury/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Masonry & Bricklaying,https://homestars.com/on/sudbury/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Tuck Pointing,https://homestars.com/on/sudbury/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Waterproofing,https://homestars.com/on/sudbury/waterproofing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/sudbury/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,"Game Rooms, Entertainment",https://homestars.com/on/sudbury/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Garage Design & Organization,https://homestars.com/on/sudbury/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:33:23Z
sudbury,Home Staging,https://homestars.com/on/sudbury/staging,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
sudbury,Interior Decorators,https://homestars.com/on/sudbury/interior-decorators,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:33:23Z
