City,Category,Link,page_status,status_code,update_time
trent-river,Basement Renovation,https://homestars.com/on/trent-river/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Bathroom Renovation,https://homestars.com/on/trent-river/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Condominium Renovations,https://homestars.com/on/trent-river/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Decks,https://homestars.com/on/trent-river/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Demolition,https://homestars.com/on/trent-river/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/trent-river/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Historical Restoration,https://homestars.com/on/trent-river/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Home Additions,https://homestars.com/on/trent-river/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Home Inspection,https://homestars.com/on/trent-river/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Home Office Renovation,https://homestars.com/on/trent-river/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Kitchen Planning & Renovation,https://homestars.com/on/trent-river/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Renovation Cleaning,https://homestars.com/on/trent-river/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Architects,https://homestars.com/on/trent-river/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Builders,https://homestars.com/on/trent-river/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Concrete Contractors,https://homestars.com/on/trent-river/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Design/Build,https://homestars.com/on/trent-river/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Design/Project Management,https://homestars.com/on/trent-river/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Drafting Service,https://homestars.com/on/trent-river/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,General Contractors,https://homestars.com/on/trent-river/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Renovation Advisors,https://homestars.com/on/trent-river/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Structural Engineering,https://homestars.com/on/trent-river/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Surveyors,https://homestars.com/on/trent-river/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:10:40Z
trent-river,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/trent-river/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Cabinetry & Millwork,https://homestars.com/on/trent-river/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
trent-river,Carpenters,https://homestars.com/on/trent-river/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:10:40Z
