City,Category,Link,page_status,status_code,update_time
vars,Basement Renovation,https://homestars.com/on/vars/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:57:33Z
vars,Bathroom Renovation,https://homestars.com/on/vars/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:57:33Z
vars,Condominium Renovations,https://homestars.com/on/vars/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Decks,https://homestars.com/on/vars/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:57:33Z
vars,Demolition,https://homestars.com/on/vars/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/vars/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Historical Restoration,https://homestars.com/on/vars/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Home Additions,https://homestars.com/on/vars/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Home Inspection,https://homestars.com/on/vars/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Home Office Renovation,https://homestars.com/on/vars/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Kitchen Planning & Renovation,https://homestars.com/on/vars/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Renovation Cleaning,https://homestars.com/on/vars/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Architects,https://homestars.com/on/vars/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T00:57:33Z
vars,Builders,https://homestars.com/on/vars/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Concrete Contractors,https://homestars.com/on/vars/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Design/Build,https://homestars.com/on/vars/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
vars,Design/Project Management,https://homestars.com/on/vars/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T00:57:33Z
