City,Category,Link,page_status,status_code,update_time
zurich,Basement Renovation,https://homestars.com/on/zurich/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-19T01:23:32Z
zurich,Bathroom Renovation,https://homestars.com/on/zurich/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Condominium Renovations,https://homestars.com/on/zurich/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Decks,https://homestars.com/on/zurich/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-19T01:23:32Z
zurich,Demolition,https://homestars.com/on/zurich/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/zurich/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Historical Restoration,https://homestars.com/on/zurich/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Home Additions,https://homestars.com/on/zurich/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Home Inspection,https://homestars.com/on/zurich/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Home Office Renovation,https://homestars.com/on/zurich/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Kitchen Planning & Renovation,https://homestars.com/on/zurich/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Renovation Cleaning,https://homestars.com/on/zurich/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Architects,https://homestars.com/on/zurich/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Builders,https://homestars.com/on/zurich/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Concrete Contractors,https://homestars.com/on/zurich/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Design/Build,https://homestars.com/on/zurich/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Design/Project Management,https://homestars.com/on/zurich/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Drafting Service,https://homestars.com/on/zurich/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,General Contractors,https://homestars.com/on/zurich/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Renovation Advisors,https://homestars.com/on/zurich/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Structural Engineering,https://homestars.com/on/zurich/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Surveyors,https://homestars.com/on/zurich/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/zurich/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Cabinetry & Millwork,https://homestars.com/on/zurich/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Carpenters,https://homestars.com/on/zurich/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Closet & Storage Solutions,https://homestars.com/on/zurich/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Decks,https://homestars.com/on/zurich/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-19T01:23:32Z
zurich,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/zurich/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Framing,https://homestars.com/on/zurich/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/zurich/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Railings,https://homestars.com/on/zurich/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-19T01:23:32Z
zurich,Stair Builders,https://homestars.com/on/zurich/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Woodworking,https://homestars.com/on/zurich/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Blinds Cleaning & Repairing,https://homestars.com/on/zurich/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/zurich/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Drapery & Upholstery Cleaning,https://homestars.com/on/zurich/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Duct Cleaning,https://homestars.com/on/zurich/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
zurich,Fire & Water Damage Restoration,https://homestars.com/on/zurich/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-19T01:23:32Z
