City,Category,Link,page_status,status_code,update_time
ann arbor,Basement Renovation,https://homestars.com/on/ann%20arbor/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Bathroom Renovation,https://homestars.com/on/ann%20arbor/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Condominium Renovations,https://homestars.com/on/ann%20arbor/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Decks,https://homestars.com/on/ann%20arbor/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Demolition,https://homestars.com/on/ann%20arbor/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/ann%20arbor/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Historical Restoration,https://homestars.com/on/ann%20arbor/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Home Additions,https://homestars.com/on/ann%20arbor/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Home Inspection,https://homestars.com/on/ann%20arbor/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Home Office Renovation,https://homestars.com/on/ann%20arbor/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
ann arbor,Kitchen Planning & Renovation,https://homestars.com/on/ann%20arbor/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T02:56:08Z
