City,Category,Link,page_status,status_code,update_time
barnettville,Basement Renovation,https://homestars.com/on/barnettville/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Bathroom Renovation,https://homestars.com/on/barnettville/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Condominium Renovations,https://homestars.com/on/barnettville/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Decks,https://homestars.com/on/barnettville/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Demolition,https://homestars.com/on/barnettville/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/barnettville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Historical Restoration,https://homestars.com/on/barnettville/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Home Additions,https://homestars.com/on/barnettville/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Home Inspection,https://homestars.com/on/barnettville/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Home Office Renovation,https://homestars.com/on/barnettville/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Kitchen Planning & Renovation,https://homestars.com/on/barnettville/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
barnettville,Renovation Cleaning,https://homestars.com/on/barnettville/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T04:49:07Z
