City,Category,Link,page_status,status_code,update_time
blackstock,Basement Renovation,https://homestars.com/on/blackstock/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Bathroom Renovation,https://homestars.com/on/blackstock/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Condominium Renovations,https://homestars.com/on/blackstock/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Decks,https://homestars.com/on/blackstock/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Demolition,https://homestars.com/on/blackstock/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/blackstock/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Historical Restoration,https://homestars.com/on/blackstock/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Home Additions,https://homestars.com/on/blackstock/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Inspection,https://homestars.com/on/blackstock/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Office Renovation,https://homestars.com/on/blackstock/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Kitchen Planning & Renovation,https://homestars.com/on/blackstock/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Renovation Cleaning,https://homestars.com/on/blackstock/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Architects,https://homestars.com/on/blackstock/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Builders,https://homestars.com/on/blackstock/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Concrete Contractors,https://homestars.com/on/blackstock/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Design/Build,https://homestars.com/on/blackstock/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Design/Project Management,https://homestars.com/on/blackstock/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Drafting Service,https://homestars.com/on/blackstock/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,General Contractors,https://homestars.com/on/blackstock/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Renovation Advisors,https://homestars.com/on/blackstock/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Structural Engineering,https://homestars.com/on/blackstock/structural-engineering,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Surveyors,https://homestars.com/on/blackstock/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/blackstock/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Cabinetry & Millwork,https://homestars.com/on/blackstock/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Carpenters,https://homestars.com/on/blackstock/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Closet & Storage Solutions,https://homestars.com/on/blackstock/closet-storage-solutions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Decks,https://homestars.com/on/blackstock/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/blackstock/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Framing,https://homestars.com/on/blackstock/framing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/blackstock/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Railings,https://homestars.com/on/blackstock/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Stair Builders,https://homestars.com/on/blackstock/stair-builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Woodworking,https://homestars.com/on/blackstock/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Blinds Cleaning & Repairing,https://homestars.com/on/blackstock/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/blackstock/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Drapery & Upholstery Cleaning,https://homestars.com/on/blackstock/drapery-upholstery-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Duct Cleaning,https://homestars.com/on/blackstock/duct-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Fire & Water Damage Restoration,https://homestars.com/on/blackstock/fire-water-damage-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,House & Apartment Cleaning,https://homestars.com/on/blackstock/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,House Cleaning Exteriors,https://homestars.com/on/blackstock/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Junk Removal,https://homestars.com/on/blackstock/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Renovation Cleaning,https://homestars.com/on/blackstock/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/blackstock/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Tile and Grout Cleaning,https://homestars.com/on/blackstock/tile-and-grout-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Window & Gutter Cleaning,https://homestars.com/on/blackstock/window-gutter-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Chimney Build & Repair,https://homestars.com/on/blackstock/chimney-build-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Chimney Sweeps,https://homestars.com/on/blackstock/chimney-sweeps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Interlocking Stone,https://homestars.com/on/blackstock/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Masonry & Bricklaying,https://homestars.com/on/blackstock/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Tuck Pointing,https://homestars.com/on/blackstock/chimney-tuck-pointing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Waterproofing,https://homestars.com/on/blackstock/waterproofing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/blackstock/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,"Game Rooms, Entertainment",https://homestars.com/on/blackstock/game-rooms-entertainment,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Garage Design & Organization,https://homestars.com/on/blackstock/garage-design-organization,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Staging,https://homestars.com/on/blackstock/staging,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Interior Decorators,https://homestars.com/on/blackstock/interior-decorators,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Interior Design,https://homestars.com/on/blackstock/interior-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/blackstock/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Alarm Systems,https://homestars.com/on/blackstock/alarm-systems,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Appliance Repair,https://homestars.com/on/blackstock/appliance-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Appliance Retailers,https://homestars.com/on/blackstock/appliance-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Computer Repairs and Support,https://homestars.com/on/blackstock/computer-repairs-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Electricians,https://homestars.com/on/blackstock/electricians,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Electronic Repairs,https://homestars.com/on/blackstock/electronic-repairs,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Automation,https://homestars.com/on/blackstock/home-automation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Theater,https://homestars.com/on/blackstock/home-theater,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Lighting,https://homestars.com/on/blackstock/lighting,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Satellite Sales & Service,https://homestars.com/on/blackstock/satellite-sales-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Vacuum Sales & Service,https://homestars.com/on/blackstock/vacuum-sales-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Carpet & Rug Retailers,https://homestars.com/on/blackstock/carpet-rug-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Carpet Installers,https://homestars.com/on/blackstock/carpet-installers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Concrete Contractors,https://homestars.com/on/blackstock/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Decorative Concrete,https://homestars.com/on/blackstock/decorative-concrete,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Floor Laying & Refinishing,https://homestars.com/on/blackstock/floor-laying-refinishing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Floor Retailers,https://homestars.com/on/blackstock/floor-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Interlocking Stone,https://homestars.com/on/blackstock/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Masonry & Bricklaying,https://homestars.com/on/blackstock/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Tile & Stone Contractors,https://homestars.com/on/blackstock/tile-stone-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Tuck Pointing,https://homestars.com/on/blackstock/chimney-tuck-pointing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Excavation,https://homestars.com/on/blackstock/excavation-demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Foundations,https://homestars.com/on/blackstock/foundations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Interlocking Stone,https://homestars.com/on/blackstock/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Masonry & Bricklaying,https://homestars.com/on/blackstock/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Tuck Pointing,https://homestars.com/on/blackstock/chimney-tuck-pointing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Waterproofing,https://homestars.com/on/blackstock/waterproofing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Furniture,https://homestars.com/on/blackstock/furniture,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Furniture Designers & Custom Builders,https://homestars.com/on/blackstock/furniture-designers-custom-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:24:38Z
blackstock,Furniture Refinish & Repair,https://homestars.com/on/blackstock/furniture-refinish-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Furniture Rental,https://homestars.com/on/blackstock/furniture-rental,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
blackstock,Home Staging,https://homestars.com/on/blackstock/staging,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T07:24:38Z
