City,Category,Link,page_status,status_code,update_time
bloomfield hills,Basement Renovation,https://homestars.com/on/bloomfield%20hills/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Bathroom Renovation,https://homestars.com/on/bloomfield%20hills/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Condominium Renovations,https://homestars.com/on/bloomfield%20hills/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Decks,https://homestars.com/on/bloomfield%20hills/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Demolition,https://homestars.com/on/bloomfield%20hills/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/bloomfield%20hills/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Historical Restoration,https://homestars.com/on/bloomfield%20hills/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Home Additions,https://homestars.com/on/bloomfield%20hills/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Home Inspection,https://homestars.com/on/bloomfield%20hills/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Home Office Renovation,https://homestars.com/on/bloomfield%20hills/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Kitchen Planning & Renovation,https://homestars.com/on/bloomfield%20hills/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Renovation Cleaning,https://homestars.com/on/bloomfield%20hills/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Architects,https://homestars.com/on/bloomfield%20hills/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Builders,https://homestars.com/on/bloomfield%20hills/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Concrete Contractors,https://homestars.com/on/bloomfield%20hills/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Design/Build,https://homestars.com/on/bloomfield%20hills/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Design/Project Management,https://homestars.com/on/bloomfield%20hills/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,Drafting Service,https://homestars.com/on/bloomfield%20hills/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
bloomfield hills,General Contractors,https://homestars.com/on/bloomfield%20hills/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T07:39:34Z
