City,Category,Link,page_status,status_code,update_time
brant-county,Basement Renovation,https://homestars.com/on/brant-county/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Bathroom Renovation,https://homestars.com/on/brant-county/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Condominium Renovations,https://homestars.com/on/brant-county/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Decks,https://homestars.com/on/brant-county/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Demolition,https://homestars.com/on/brant-county/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/brant-county/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Historical Restoration,https://homestars.com/on/brant-county/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T08:51:44Z
brant-county,Home Additions,https://homestars.com/on/brant-county/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T08:51:44Z
brant-county,Home Inspection,https://homestars.com/on/brant-county/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Home Office Renovation,https://homestars.com/on/brant-county/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Kitchen Planning & Renovation,https://homestars.com/on/brant-county/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Renovation Cleaning,https://homestars.com/on/brant-county/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Architects,https://homestars.com/on/brant-county/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Builders,https://homestars.com/on/brant-county/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Concrete Contractors,https://homestars.com/on/brant-county/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Design/Build,https://homestars.com/on/brant-county/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Design/Project Management,https://homestars.com/on/brant-county/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Drafting Service,https://homestars.com/on/brant-county/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,General Contractors,https://homestars.com/on/brant-county/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Renovation Advisors,https://homestars.com/on/brant-county/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Structural Engineering,https://homestars.com/on/brant-county/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T08:51:44Z
brant-county,Surveyors,https://homestars.com/on/brant-county/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/brant-county/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Cabinetry & Millwork,https://homestars.com/on/brant-county/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Carpenters,https://homestars.com/on/brant-county/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Closet & Storage Solutions,https://homestars.com/on/brant-county/closet-storage-solutions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
brant-county,Decks,https://homestars.com/on/brant-county/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T08:51:44Z
