City,Category,Link,page_status,status_code,update_time
cadillac,Basement Renovation,https://homestars.com/on/cadillac/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Bathroom Renovation,https://homestars.com/on/cadillac/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Condominium Renovations,https://homestars.com/on/cadillac/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Decks,https://homestars.com/on/cadillac/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Demolition,https://homestars.com/on/cadillac/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/cadillac/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Historical Restoration,https://homestars.com/on/cadillac/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Home Additions,https://homestars.com/on/cadillac/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Home Inspection,https://homestars.com/on/cadillac/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Home Office Renovation,https://homestars.com/on/cadillac/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Kitchen Planning & Renovation,https://homestars.com/on/cadillac/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Renovation Cleaning,https://homestars.com/on/cadillac/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Architects,https://homestars.com/on/cadillac/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Builders,https://homestars.com/on/cadillac/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Concrete Contractors,https://homestars.com/on/cadillac/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Design/Build,https://homestars.com/on/cadillac/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Design/Project Management,https://homestars.com/on/cadillac/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Drafting Service,https://homestars.com/on/cadillac/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,General Contractors,https://homestars.com/on/cadillac/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
cadillac,Renovation Advisors,https://homestars.com/on/cadillac/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T10:16:09Z
