City,Category,Link,page_status,status_code,update_time
carstairs,Basement Renovation,https://homestars.com/on/carstairs/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Bathroom Renovation,https://homestars.com/on/carstairs/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Condominium Renovations,https://homestars.com/on/carstairs/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Decks,https://homestars.com/on/carstairs/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Demolition,https://homestars.com/on/carstairs/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/carstairs/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Historical Restoration,https://homestars.com/on/carstairs/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Home Additions,https://homestars.com/on/carstairs/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Home Inspection,https://homestars.com/on/carstairs/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Home Office Renovation,https://homestars.com/on/carstairs/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Kitchen Planning & Renovation,https://homestars.com/on/carstairs/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Renovation Cleaning,https://homestars.com/on/carstairs/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Architects,https://homestars.com/on/carstairs/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Builders,https://homestars.com/on/carstairs/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Concrete Contractors,https://homestars.com/on/carstairs/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Design/Build,https://homestars.com/on/carstairs/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Design/Project Management,https://homestars.com/on/carstairs/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Drafting Service,https://homestars.com/on/carstairs/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,General Contractors,https://homestars.com/on/carstairs/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T11:48:45Z
carstairs,Renovation Advisors,https://homestars.com/on/carstairs/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
carstairs,Structural Engineering,https://homestars.com/on/carstairs/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:48:45Z
