City,Category,Link,page_status,status_code,update_time
east selkirk,Basement Renovation,https://homestars.com/on/east%20selkirk/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Bathroom Renovation,https://homestars.com/on/east%20selkirk/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Condominium Renovations,https://homestars.com/on/east%20selkirk/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Decks,https://homestars.com/on/east%20selkirk/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Demolition,https://homestars.com/on/east%20selkirk/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/east%20selkirk/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Historical Restoration,https://homestars.com/on/east%20selkirk/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Home Additions,https://homestars.com/on/east%20selkirk/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Home Inspection,https://homestars.com/on/east%20selkirk/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Home Office Renovation,https://homestars.com/on/east%20selkirk/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Kitchen Planning & Renovation,https://homestars.com/on/east%20selkirk/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Renovation Cleaning,https://homestars.com/on/east%20selkirk/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Architects,https://homestars.com/on/east%20selkirk/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Builders,https://homestars.com/on/east%20selkirk/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Concrete Contractors,https://homestars.com/on/east%20selkirk/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Design/Build,https://homestars.com/on/east%20selkirk/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Design/Project Management,https://homestars.com/on/east%20selkirk/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Drafting Service,https://homestars.com/on/east%20selkirk/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,General Contractors,https://homestars.com/on/east%20selkirk/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Renovation Advisors,https://homestars.com/on/east%20selkirk/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Structural Engineering,https://homestars.com/on/east%20selkirk/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Surveyors,https://homestars.com/on/east%20selkirk/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/east%20selkirk/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Cabinetry & Millwork,https://homestars.com/on/east%20selkirk/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Carpenters,https://homestars.com/on/east%20selkirk/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,Closet & Storage Solutions,https://homestars.com/on/east%20selkirk/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
east selkirk,Decks,https://homestars.com/on/east%20selkirk/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:20:34Z
east selkirk,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/east%20selkirk/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:20:34Z
