City,Category,Link,page_status,status_code,update_time
edgetts landing,Basement Renovation,https://homestars.com/on/edgetts%20landing/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Bathroom Renovation,https://homestars.com/on/edgetts%20landing/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Condominium Renovations,https://homestars.com/on/edgetts%20landing/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Decks,https://homestars.com/on/edgetts%20landing/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:37:15Z
edgetts landing,Demolition,https://homestars.com/on/edgetts%20landing/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T11:37:15Z
edgetts landing,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/edgetts%20landing/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Historical Restoration,https://homestars.com/on/edgetts%20landing/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Home Additions,https://homestars.com/on/edgetts%20landing/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Home Inspection,https://homestars.com/on/edgetts%20landing/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Home Office Renovation,https://homestars.com/on/edgetts%20landing/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Kitchen Planning & Renovation,https://homestars.com/on/edgetts%20landing/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Renovation Cleaning,https://homestars.com/on/edgetts%20landing/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Architects,https://homestars.com/on/edgetts%20landing/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Builders,https://homestars.com/on/edgetts%20landing/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
edgetts landing,Concrete Contractors,https://homestars.com/on/edgetts%20landing/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T11:37:15Z
