City,Category,Link,page_status,status_code,update_time
entrelacs,Basement Renovation,https://homestars.com/on/entrelacs/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Bathroom Renovation,https://homestars.com/on/entrelacs/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Condominium Renovations,https://homestars.com/on/entrelacs/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Decks,https://homestars.com/on/entrelacs/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Demolition,https://homestars.com/on/entrelacs/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/entrelacs/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Historical Restoration,https://homestars.com/on/entrelacs/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Home Additions,https://homestars.com/on/entrelacs/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Home Inspection,https://homestars.com/on/entrelacs/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Home Office Renovation,https://homestars.com/on/entrelacs/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Kitchen Planning & Renovation,https://homestars.com/on/entrelacs/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Renovation Cleaning,https://homestars.com/on/entrelacs/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Architects,https://homestars.com/on/entrelacs/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Builders,https://homestars.com/on/entrelacs/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Concrete Contractors,https://homestars.com/on/entrelacs/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Design/Build,https://homestars.com/on/entrelacs/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Design/Project Management,https://homestars.com/on/entrelacs/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Drafting Service,https://homestars.com/on/entrelacs/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,General Contractors,https://homestars.com/on/entrelacs/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Renovation Advisors,https://homestars.com/on/entrelacs/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Structural Engineering,https://homestars.com/on/entrelacs/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Surveyors,https://homestars.com/on/entrelacs/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/entrelacs/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Cabinetry & Millwork,https://homestars.com/on/entrelacs/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
entrelacs,Carpenters,https://homestars.com/on/entrelacs/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T12:18:48Z
