City,Category,Link,page_status,status_code,update_time
fort-albany,Basement Renovation,https://homestars.com/on/fort-albany/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Bathroom Renovation,https://homestars.com/on/fort-albany/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Condominium Renovations,https://homestars.com/on/fort-albany/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Decks,https://homestars.com/on/fort-albany/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Demolition,https://homestars.com/on/fort-albany/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort-albany/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Historical Restoration,https://homestars.com/on/fort-albany/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Home Additions,https://homestars.com/on/fort-albany/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Home Inspection,https://homestars.com/on/fort-albany/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Home Office Renovation,https://homestars.com/on/fort-albany/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Kitchen Planning & Renovation,https://homestars.com/on/fort-albany/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Renovation Cleaning,https://homestars.com/on/fort-albany/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Architects,https://homestars.com/on/fort-albany/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Builders,https://homestars.com/on/fort-albany/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Concrete Contractors,https://homestars.com/on/fort-albany/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Design/Build,https://homestars.com/on/fort-albany/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Design/Project Management,https://homestars.com/on/fort-albany/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Drafting Service,https://homestars.com/on/fort-albany/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,General Contractors,https://homestars.com/on/fort-albany/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Renovation Advisors,https://homestars.com/on/fort-albany/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Structural Engineering,https://homestars.com/on/fort-albany/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Surveyors,https://homestars.com/on/fort-albany/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/fort-albany/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Cabinetry & Millwork,https://homestars.com/on/fort-albany/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Carpenters,https://homestars.com/on/fort-albany/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Closet & Storage Solutions,https://homestars.com/on/fort-albany/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Decks,https://homestars.com/on/fort-albany/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort-albany/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Framing,https://homestars.com/on/fort-albany/framing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/fort-albany/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Railings,https://homestars.com/on/fort-albany/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Stair Builders,https://homestars.com/on/fort-albany/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Woodworking,https://homestars.com/on/fort-albany/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Blinds Cleaning & Repairing,https://homestars.com/on/fort-albany/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/fort-albany/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Drapery & Upholstery Cleaning,https://homestars.com/on/fort-albany/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Duct Cleaning,https://homestars.com/on/fort-albany/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Fire & Water Damage Restoration,https://homestars.com/on/fort-albany/fire-water-damage-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,House & Apartment Cleaning,https://homestars.com/on/fort-albany/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,House Cleaning Exteriors,https://homestars.com/on/fort-albany/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Junk Removal,https://homestars.com/on/fort-albany/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Renovation Cleaning,https://homestars.com/on/fort-albany/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/fort-albany/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:35:56Z
fort-albany,Tile and Grout Cleaning,https://homestars.com/on/fort-albany/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
fort-albany,Window & Gutter Cleaning,https://homestars.com/on/fort-albany/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:35:56Z
