City,Category,Link,page_status,status_code,update_time
fort dodge,Basement Renovation,https://homestars.com/on/fort%20dodge/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Bathroom Renovation,https://homestars.com/on/fort%20dodge/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Condominium Renovations,https://homestars.com/on/fort%20dodge/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Decks,https://homestars.com/on/fort%20dodge/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Demolition,https://homestars.com/on/fort%20dodge/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort%20dodge/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Historical Restoration,https://homestars.com/on/fort%20dodge/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Home Additions,https://homestars.com/on/fort%20dodge/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Home Inspection,https://homestars.com/on/fort%20dodge/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Home Office Renovation,https://homestars.com/on/fort%20dodge/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Kitchen Planning & Renovation,https://homestars.com/on/fort%20dodge/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Renovation Cleaning,https://homestars.com/on/fort%20dodge/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Architects,https://homestars.com/on/fort%20dodge/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Builders,https://homestars.com/on/fort%20dodge/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Concrete Contractors,https://homestars.com/on/fort%20dodge/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Design/Build,https://homestars.com/on/fort%20dodge/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Design/Project Management,https://homestars.com/on/fort%20dodge/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Drafting Service,https://homestars.com/on/fort%20dodge/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,General Contractors,https://homestars.com/on/fort%20dodge/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Renovation Advisors,https://homestars.com/on/fort%20dodge/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Structural Engineering,https://homestars.com/on/fort%20dodge/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Surveyors,https://homestars.com/on/fort%20dodge/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/fort%20dodge/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Cabinetry & Millwork,https://homestars.com/on/fort%20dodge/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Carpenters,https://homestars.com/on/fort%20dodge/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Closet & Storage Solutions,https://homestars.com/on/fort%20dodge/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Decks,https://homestars.com/on/fort%20dodge/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort%20dodge/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Framing,https://homestars.com/on/fort%20dodge/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/fort%20dodge/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Railings,https://homestars.com/on/fort%20dodge/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Stair Builders,https://homestars.com/on/fort%20dodge/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Woodworking,https://homestars.com/on/fort%20dodge/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Blinds Cleaning & Repairing,https://homestars.com/on/fort%20dodge/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/fort%20dodge/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Drapery & Upholstery Cleaning,https://homestars.com/on/fort%20dodge/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Duct Cleaning,https://homestars.com/on/fort%20dodge/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Fire & Water Damage Restoration,https://homestars.com/on/fort%20dodge/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,House & Apartment Cleaning,https://homestars.com/on/fort%20dodge/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,House Cleaning Exteriors,https://homestars.com/on/fort%20dodge/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Junk Removal,https://homestars.com/on/fort%20dodge/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Renovation Cleaning,https://homestars.com/on/fort%20dodge/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/fort%20dodge/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Tile and Grout Cleaning,https://homestars.com/on/fort%20dodge/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Window & Gutter Cleaning,https://homestars.com/on/fort%20dodge/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Chimney Build & Repair,https://homestars.com/on/fort%20dodge/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Chimney Sweeps,https://homestars.com/on/fort%20dodge/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
fort dodge,Interlocking Stone,https://homestars.com/on/fort%20dodge/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:39:57Z
