City,Category,Link,page_status,status_code,update_time
fort saskatchewan,Basement Renovation,https://homestars.com/on/fort%20saskatchewan/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Bathroom Renovation,https://homestars.com/on/fort%20saskatchewan/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Condominium Renovations,https://homestars.com/on/fort%20saskatchewan/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Decks,https://homestars.com/on/fort%20saskatchewan/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Demolition,https://homestars.com/on/fort%20saskatchewan/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort%20saskatchewan/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Historical Restoration,https://homestars.com/on/fort%20saskatchewan/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Home Additions,https://homestars.com/on/fort%20saskatchewan/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Home Inspection,https://homestars.com/on/fort%20saskatchewan/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Home Office Renovation,https://homestars.com/on/fort%20saskatchewan/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Kitchen Planning & Renovation,https://homestars.com/on/fort%20saskatchewan/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Renovation Cleaning,https://homestars.com/on/fort%20saskatchewan/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Architects,https://homestars.com/on/fort%20saskatchewan/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Builders,https://homestars.com/on/fort%20saskatchewan/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Concrete Contractors,https://homestars.com/on/fort%20saskatchewan/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Design/Build,https://homestars.com/on/fort%20saskatchewan/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Design/Project Management,https://homestars.com/on/fort%20saskatchewan/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Drafting Service,https://homestars.com/on/fort%20saskatchewan/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,General Contractors,https://homestars.com/on/fort%20saskatchewan/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Renovation Advisors,https://homestars.com/on/fort%20saskatchewan/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Structural Engineering,https://homestars.com/on/fort%20saskatchewan/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Surveyors,https://homestars.com/on/fort%20saskatchewan/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/fort%20saskatchewan/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Cabinetry & Millwork,https://homestars.com/on/fort%20saskatchewan/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Carpenters,https://homestars.com/on/fort%20saskatchewan/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Closet & Storage Solutions,https://homestars.com/on/fort%20saskatchewan/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Decks,https://homestars.com/on/fort%20saskatchewan/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/fort%20saskatchewan/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Framing,https://homestars.com/on/fort%20saskatchewan/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/fort%20saskatchewan/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Railings,https://homestars.com/on/fort%20saskatchewan/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Stair Builders,https://homestars.com/on/fort%20saskatchewan/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Woodworking,https://homestars.com/on/fort%20saskatchewan/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Blinds Cleaning & Repairing,https://homestars.com/on/fort%20saskatchewan/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/fort%20saskatchewan/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Drapery & Upholstery Cleaning,https://homestars.com/on/fort%20saskatchewan/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Duct Cleaning,https://homestars.com/on/fort%20saskatchewan/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Fire & Water Damage Restoration,https://homestars.com/on/fort%20saskatchewan/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,House & Apartment Cleaning,https://homestars.com/on/fort%20saskatchewan/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,House Cleaning Exteriors,https://homestars.com/on/fort%20saskatchewan/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Junk Removal,https://homestars.com/on/fort%20saskatchewan/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T13:53:52Z
fort saskatchewan,Renovation Cleaning,https://homestars.com/on/fort%20saskatchewan/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/fort%20saskatchewan/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
fort saskatchewan,Tile and Grout Cleaning,https://homestars.com/on/fort%20saskatchewan/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T13:53:52Z
