City,Category,Link,page_status,status_code,update_time
kemptville,Basement Renovation,https://homestars.com/on/kemptville/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Bathroom Renovation,https://homestars.com/on/kemptville/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Condominium Renovations,https://homestars.com/on/kemptville/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Decks,https://homestars.com/on/kemptville/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Demolition,https://homestars.com/on/kemptville/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/kemptville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Historical Restoration,https://homestars.com/on/kemptville/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Home Additions,https://homestars.com/on/kemptville/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Home Inspection,https://homestars.com/on/kemptville/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Home Office Renovation,https://homestars.com/on/kemptville/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Kitchen Planning & Renovation,https://homestars.com/on/kemptville/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Renovation Cleaning,https://homestars.com/on/kemptville/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Architects,https://homestars.com/on/kemptville/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Builders,https://homestars.com/on/kemptville/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Concrete Contractors,https://homestars.com/on/kemptville/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Design/Build,https://homestars.com/on/kemptville/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Design/Project Management,https://homestars.com/on/kemptville/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Drafting Service,https://homestars.com/on/kemptville/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,General Contractors,https://homestars.com/on/kemptville/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Renovation Advisors,https://homestars.com/on/kemptville/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Structural Engineering,https://homestars.com/on/kemptville/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Surveyors,https://homestars.com/on/kemptville/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/kemptville/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Cabinetry & Millwork,https://homestars.com/on/kemptville/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Carpenters,https://homestars.com/on/kemptville/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Closet & Storage Solutions,https://homestars.com/on/kemptville/closet-storage-solutions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Decks,https://homestars.com/on/kemptville/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/kemptville/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Framing,https://homestars.com/on/kemptville/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/kemptville/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Railings,https://homestars.com/on/kemptville/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Stair Builders,https://homestars.com/on/kemptville/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Woodworking,https://homestars.com/on/kemptville/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Blinds Cleaning & Repairing,https://homestars.com/on/kemptville/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/kemptville/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Drapery & Upholstery Cleaning,https://homestars.com/on/kemptville/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Duct Cleaning,https://homestars.com/on/kemptville/duct-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Fire & Water Damage Restoration,https://homestars.com/on/kemptville/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,House & Apartment Cleaning,https://homestars.com/on/kemptville/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,House Cleaning Exteriors,https://homestars.com/on/kemptville/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Junk Removal,https://homestars.com/on/kemptville/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Renovation Cleaning,https://homestars.com/on/kemptville/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/kemptville/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Tile and Grout Cleaning,https://homestars.com/on/kemptville/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Window & Gutter Cleaning,https://homestars.com/on/kemptville/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Chimney Build & Repair,https://homestars.com/on/kemptville/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Chimney Sweeps,https://homestars.com/on/kemptville/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Interlocking Stone,https://homestars.com/on/kemptville/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Masonry & Bricklaying,https://homestars.com/on/kemptville/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Tuck Pointing,https://homestars.com/on/kemptville/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Waterproofing,https://homestars.com/on/kemptville/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/kemptville/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,"Game Rooms, Entertainment",https://homestars.com/on/kemptville/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Garage Design & Organization,https://homestars.com/on/kemptville/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-16T22:04:37Z
kemptville,Home Staging,https://homestars.com/on/kemptville/staging,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Interior Decorators,https://homestars.com/on/kemptville/interior-decorators,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
kemptville,Interior Design,https://homestars.com/on/kemptville/interior-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-16T22:04:37Z
