City,Category,Link,page_status,status_code,update_time
lakeland,Basement Renovation,https://homestars.com/on/lakeland/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Bathroom Renovation,https://homestars.com/on/lakeland/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Condominium Renovations,https://homestars.com/on/lakeland/condominium-renovations,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Decks,https://homestars.com/on/lakeland/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Demolition,https://homestars.com/on/lakeland/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/lakeland/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Historical Restoration,https://homestars.com/on/lakeland/historical-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Additions,https://homestars.com/on/lakeland/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Inspection,https://homestars.com/on/lakeland/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Office Renovation,https://homestars.com/on/lakeland/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Kitchen Planning & Renovation,https://homestars.com/on/lakeland/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Renovation Cleaning,https://homestars.com/on/lakeland/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Architects,https://homestars.com/on/lakeland/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Builders,https://homestars.com/on/lakeland/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Concrete Contractors,https://homestars.com/on/lakeland/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Design/Build,https://homestars.com/on/lakeland/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Design/Project Management,https://homestars.com/on/lakeland/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Drafting Service,https://homestars.com/on/lakeland/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,General Contractors,https://homestars.com/on/lakeland/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Renovation Advisors,https://homestars.com/on/lakeland/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Structural Engineering,https://homestars.com/on/lakeland/structural-engineering,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Surveyors,https://homestars.com/on/lakeland/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/lakeland/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Cabinetry & Millwork,https://homestars.com/on/lakeland/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Carpenters,https://homestars.com/on/lakeland/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Closet & Storage Solutions,https://homestars.com/on/lakeland/closet-storage-solutions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Decks,https://homestars.com/on/lakeland/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/lakeland/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Framing,https://homestars.com/on/lakeland/framing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/lakeland/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Railings,https://homestars.com/on/lakeland/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Stair Builders,https://homestars.com/on/lakeland/stair-builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Woodworking,https://homestars.com/on/lakeland/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Blinds Cleaning & Repairing,https://homestars.com/on/lakeland/blinds-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/lakeland/carpet-rug-cleaning-repairing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Drapery & Upholstery Cleaning,https://homestars.com/on/lakeland/drapery-upholstery-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Duct Cleaning,https://homestars.com/on/lakeland/duct-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Fire & Water Damage Restoration,https://homestars.com/on/lakeland/fire-water-damage-restoration,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,House & Apartment Cleaning,https://homestars.com/on/lakeland/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,House Cleaning Exteriors,https://homestars.com/on/lakeland/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Junk Removal,https://homestars.com/on/lakeland/junk-removal,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Renovation Cleaning,https://homestars.com/on/lakeland/renovation-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/lakeland/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T00:41:27Z
lakeland,Tile and Grout Cleaning,https://homestars.com/on/lakeland/tile-and-grout-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Window & Gutter Cleaning,https://homestars.com/on/lakeland/window-gutter-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Chimney Build & Repair,https://homestars.com/on/lakeland/chimney-build-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Chimney Sweeps,https://homestars.com/on/lakeland/chimney-sweeps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Interlocking Stone,https://homestars.com/on/lakeland/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Masonry & Bricklaying,https://homestars.com/on/lakeland/masonry-bricklaying,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Tuck Pointing,https://homestars.com/on/lakeland/chimney-tuck-pointing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Waterproofing,https://homestars.com/on/lakeland/waterproofing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/lakeland/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,"Game Rooms, Entertainment",https://homestars.com/on/lakeland/game-rooms-entertainment,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Garage Design & Organization,https://homestars.com/on/lakeland/garage-design-organization,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Staging,https://homestars.com/on/lakeland/staging,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Interior Decorators,https://homestars.com/on/lakeland/interior-decorators,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Interior Design,https://homestars.com/on/lakeland/interior-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/lakeland/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Alarm Systems,https://homestars.com/on/lakeland/alarm-systems,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Appliance Repair,https://homestars.com/on/lakeland/appliance-repair,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Appliance Retailers,https://homestars.com/on/lakeland/appliance-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Computer Repairs and Support,https://homestars.com/on/lakeland/computer-repairs-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Electricians,https://homestars.com/on/lakeland/electricians,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Electronic Repairs,https://homestars.com/on/lakeland/electronic-repairs,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Automation,https://homestars.com/on/lakeland/home-automation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Home Theater,https://homestars.com/on/lakeland/home-theater,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Lighting,https://homestars.com/on/lakeland/lighting,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Satellite Sales & Service,https://homestars.com/on/lakeland/satellite-sales-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Vacuum Sales & Service,https://homestars.com/on/lakeland/vacuum-sales-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Carpet & Rug Retailers,https://homestars.com/on/lakeland/carpet-rug-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Carpet Installers,https://homestars.com/on/lakeland/carpet-installers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Concrete Contractors,https://homestars.com/on/lakeland/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Decorative Concrete,https://homestars.com/on/lakeland/decorative-concrete,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Floor Laying & Refinishing,https://homestars.com/on/lakeland/floor-laying-refinishing,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Floor Retailers,https://homestars.com/on/lakeland/floor-retailers,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
lakeland,Interlocking Stone,https://homestars.com/on/lakeland/interlocking-stone,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T00:41:27Z
