City,Category,Link,page_status,status_code,update_time
notre dame,Basement Renovation,https://homestars.com/on/notre%20dame/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Bathroom Renovation,https://homestars.com/on/notre%20dame/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Condominium Renovations,https://homestars.com/on/notre%20dame/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Decks,https://homestars.com/on/notre%20dame/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Demolition,https://homestars.com/on/notre%20dame/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/notre%20dame/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Historical Restoration,https://homestars.com/on/notre%20dame/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Home Additions,https://homestars.com/on/notre%20dame/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Home Inspection,https://homestars.com/on/notre%20dame/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Home Office Renovation,https://homestars.com/on/notre%20dame/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Kitchen Planning & Renovation,https://homestars.com/on/notre%20dame/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Renovation Cleaning,https://homestars.com/on/notre%20dame/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Architects,https://homestars.com/on/notre%20dame/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Builders,https://homestars.com/on/notre%20dame/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Concrete Contractors,https://homestars.com/on/notre%20dame/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Design/Build,https://homestars.com/on/notre%20dame/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Design/Project Management,https://homestars.com/on/notre%20dame/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Drafting Service,https://homestars.com/on/notre%20dame/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,General Contractors,https://homestars.com/on/notre%20dame/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Renovation Advisors,https://homestars.com/on/notre%20dame/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Structural Engineering,https://homestars.com/on/notre%20dame/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Surveyors,https://homestars.com/on/notre%20dame/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/notre%20dame/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Cabinetry & Millwork,https://homestars.com/on/notre%20dame/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Carpenters,https://homestars.com/on/notre%20dame/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Closet & Storage Solutions,https://homestars.com/on/notre%20dame/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,Decks,https://homestars.com/on/notre%20dame/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
notre dame,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/notre%20dame/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:10:27Z
