City,Category,Link,page_status,status_code,update_time
oak park,Basement Renovation,https://homestars.com/on/oak%20park/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Bathroom Renovation,https://homestars.com/on/oak%20park/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Condominium Renovations,https://homestars.com/on/oak%20park/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Decks,https://homestars.com/on/oak%20park/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Demolition,https://homestars.com/on/oak%20park/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/oak%20park/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Historical Restoration,https://homestars.com/on/oak%20park/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Additions,https://homestars.com/on/oak%20park/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Inspection,https://homestars.com/on/oak%20park/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Office Renovation,https://homestars.com/on/oak%20park/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Kitchen Planning & Renovation,https://homestars.com/on/oak%20park/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Renovation Cleaning,https://homestars.com/on/oak%20park/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Architects,https://homestars.com/on/oak%20park/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Builders,https://homestars.com/on/oak%20park/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Concrete Contractors,https://homestars.com/on/oak%20park/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Design/Build,https://homestars.com/on/oak%20park/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Design/Project Management,https://homestars.com/on/oak%20park/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Drafting Service,https://homestars.com/on/oak%20park/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,General Contractors,https://homestars.com/on/oak%20park/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Renovation Advisors,https://homestars.com/on/oak%20park/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Structural Engineering,https://homestars.com/on/oak%20park/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Surveyors,https://homestars.com/on/oak%20park/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/oak%20park/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Cabinetry & Millwork,https://homestars.com/on/oak%20park/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Carpenters,https://homestars.com/on/oak%20park/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Closet & Storage Solutions,https://homestars.com/on/oak%20park/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Decks,https://homestars.com/on/oak%20park/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/oak%20park/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Framing,https://homestars.com/on/oak%20park/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/oak%20park/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Railings,https://homestars.com/on/oak%20park/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Stair Builders,https://homestars.com/on/oak%20park/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Woodworking,https://homestars.com/on/oak%20park/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Blinds Cleaning & Repairing,https://homestars.com/on/oak%20park/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/oak%20park/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Drapery & Upholstery Cleaning,https://homestars.com/on/oak%20park/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Duct Cleaning,https://homestars.com/on/oak%20park/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Fire & Water Damage Restoration,https://homestars.com/on/oak%20park/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,House & Apartment Cleaning,https://homestars.com/on/oak%20park/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,House Cleaning Exteriors,https://homestars.com/on/oak%20park/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Junk Removal,https://homestars.com/on/oak%20park/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Renovation Cleaning,https://homestars.com/on/oak%20park/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/oak%20park/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Tile and Grout Cleaning,https://homestars.com/on/oak%20park/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Window & Gutter Cleaning,https://homestars.com/on/oak%20park/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Chimney Build & Repair,https://homestars.com/on/oak%20park/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Chimney Sweeps,https://homestars.com/on/oak%20park/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Interlocking Stone,https://homestars.com/on/oak%20park/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Masonry & Bricklaying,https://homestars.com/on/oak%20park/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Tuck Pointing,https://homestars.com/on/oak%20park/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Waterproofing,https://homestars.com/on/oak%20park/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/oak%20park/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,"Game Rooms, Entertainment",https://homestars.com/on/oak%20park/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Garage Design & Organization,https://homestars.com/on/oak%20park/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Staging,https://homestars.com/on/oak%20park/staging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Interior Decorators,https://homestars.com/on/oak%20park/interior-decorators,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Interior Design,https://homestars.com/on/oak%20park/interior-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/oak%20park/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Alarm Systems,https://homestars.com/on/oak%20park/alarm-systems,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Appliance Repair,https://homestars.com/on/oak%20park/appliance-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Appliance Retailers,https://homestars.com/on/oak%20park/appliance-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Computer Repairs and Support,https://homestars.com/on/oak%20park/computer-repairs-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Electricians,https://homestars.com/on/oak%20park/electricians,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Electronic Repairs,https://homestars.com/on/oak%20park/electronic-repairs,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Automation,https://homestars.com/on/oak%20park/home-automation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Home Theater,https://homestars.com/on/oak%20park/home-theater,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Lighting,https://homestars.com/on/oak%20park/lighting,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Satellite Sales & Service,https://homestars.com/on/oak%20park/satellite-sales-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Vacuum Sales & Service,https://homestars.com/on/oak%20park/vacuum-sales-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Carpet & Rug Retailers,https://homestars.com/on/oak%20park/carpet-rug-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Carpet Installers,https://homestars.com/on/oak%20park/carpet-installers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Concrete Contractors,https://homestars.com/on/oak%20park/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Decorative Concrete,https://homestars.com/on/oak%20park/decorative-concrete,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Floor Laying & Refinishing,https://homestars.com/on/oak%20park/floor-laying-refinishing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Floor Retailers,https://homestars.com/on/oak%20park/floor-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Interlocking Stone,https://homestars.com/on/oak%20park/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Masonry & Bricklaying,https://homestars.com/on/oak%20park/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
oak park,Tile & Stone Contractors,https://homestars.com/on/oak%20park/tile-stone-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:21:49Z
