City,Category,Link,page_status,status_code,update_time
orange-mountain,Basement Renovation,https://homestars.com/on/orange-mountain/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Bathroom Renovation,https://homestars.com/on/orange-mountain/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Condominium Renovations,https://homestars.com/on/orange-mountain/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Decks,https://homestars.com/on/orange-mountain/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Demolition,https://homestars.com/on/orange-mountain/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/orange-mountain/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Historical Restoration,https://homestars.com/on/orange-mountain/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Home Additions,https://homestars.com/on/orange-mountain/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Home Inspection,https://homestars.com/on/orange-mountain/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Home Office Renovation,https://homestars.com/on/orange-mountain/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Kitchen Planning & Renovation,https://homestars.com/on/orange-mountain/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Renovation Cleaning,https://homestars.com/on/orange-mountain/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Architects,https://homestars.com/on/orange-mountain/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Builders,https://homestars.com/on/orange-mountain/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Concrete Contractors,https://homestars.com/on/orange-mountain/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Design/Build,https://homestars.com/on/orange-mountain/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Design/Project Management,https://homestars.com/on/orange-mountain/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Drafting Service,https://homestars.com/on/orange-mountain/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,General Contractors,https://homestars.com/on/orange-mountain/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Renovation Advisors,https://homestars.com/on/orange-mountain/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Structural Engineering,https://homestars.com/on/orange-mountain/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Surveyors,https://homestars.com/on/orange-mountain/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/orange-mountain/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Cabinetry & Millwork,https://homestars.com/on/orange-mountain/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Carpenters,https://homestars.com/on/orange-mountain/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Closet & Storage Solutions,https://homestars.com/on/orange-mountain/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Decks,https://homestars.com/on/orange-mountain/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/orange-mountain/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Framing,https://homestars.com/on/orange-mountain/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/orange-mountain/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Railings,https://homestars.com/on/orange-mountain/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Stair Builders,https://homestars.com/on/orange-mountain/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Woodworking,https://homestars.com/on/orange-mountain/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Blinds Cleaning & Repairing,https://homestars.com/on/orange-mountain/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/orange-mountain/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Drapery & Upholstery Cleaning,https://homestars.com/on/orange-mountain/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Duct Cleaning,https://homestars.com/on/orange-mountain/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Fire & Water Damage Restoration,https://homestars.com/on/orange-mountain/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,House & Apartment Cleaning,https://homestars.com/on/orange-mountain/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,House Cleaning Exteriors,https://homestars.com/on/orange-mountain/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Junk Removal,https://homestars.com/on/orange-mountain/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Renovation Cleaning,https://homestars.com/on/orange-mountain/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/orange-mountain/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T10:54:26Z
orange-mountain,Tile and Grout Cleaning,https://homestars.com/on/orange-mountain/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Window & Gutter Cleaning,https://homestars.com/on/orange-mountain/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
orange-mountain,Chimney Build & Repair,https://homestars.com/on/orange-mountain/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T10:54:26Z
