City,Category,Link,page_status,status_code,update_time
port-weller,Basement Renovation,https://homestars.com/on/port-weller/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Bathroom Renovation,https://homestars.com/on/port-weller/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Condominium Renovations,https://homestars.com/on/port-weller/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:18:10Z
port-weller,Decks,https://homestars.com/on/port-weller/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Demolition,https://homestars.com/on/port-weller/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/port-weller/elevators-lifts-ramps,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Historical Restoration,https://homestars.com/on/port-weller/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:18:10Z
port-weller,Home Additions,https://homestars.com/on/port-weller/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Home Inspection,https://homestars.com/on/port-weller/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Home Office Renovation,https://homestars.com/on/port-weller/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
port-weller,Kitchen Planning & Renovation,https://homestars.com/on/port-weller/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:18:10Z
