City,Category,Link,page_status,status_code,update_time
prince,Basement Renovation,https://homestars.com/on/prince/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Bathroom Renovation,https://homestars.com/on/prince/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Condominium Renovations,https://homestars.com/on/prince/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Decks,https://homestars.com/on/prince/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Demolition,https://homestars.com/on/prince/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/prince/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Historical Restoration,https://homestars.com/on/prince/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Home Additions,https://homestars.com/on/prince/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Home Inspection,https://homestars.com/on/prince/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Home Office Renovation,https://homestars.com/on/prince/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Kitchen Planning & Renovation,https://homestars.com/on/prince/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Renovation Cleaning,https://homestars.com/on/prince/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Architects,https://homestars.com/on/prince/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Builders,https://homestars.com/on/prince/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Concrete Contractors,https://homestars.com/on/prince/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Design/Build,https://homestars.com/on/prince/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Design/Project Management,https://homestars.com/on/prince/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Drafting Service,https://homestars.com/on/prince/drafting-service,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,General Contractors,https://homestars.com/on/prince/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Renovation Advisors,https://homestars.com/on/prince/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Structural Engineering,https://homestars.com/on/prince/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Surveyors,https://homestars.com/on/prince/surveyors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/prince/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Cabinetry & Millwork,https://homestars.com/on/prince/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Carpenters,https://homestars.com/on/prince/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Closet & Storage Solutions,https://homestars.com/on/prince/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Decks,https://homestars.com/on/prince/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/prince/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Framing,https://homestars.com/on/prince/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/prince/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Railings,https://homestars.com/on/prince/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Stair Builders,https://homestars.com/on/prince/stair-builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Woodworking,https://homestars.com/on/prince/woodworking,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Blinds Cleaning & Repairing,https://homestars.com/on/prince/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/prince/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Drapery & Upholstery Cleaning,https://homestars.com/on/prince/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Duct Cleaning,https://homestars.com/on/prince/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Fire & Water Damage Restoration,https://homestars.com/on/prince/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,House & Apartment Cleaning,https://homestars.com/on/prince/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,House Cleaning Exteriors,https://homestars.com/on/prince/house-cleaning-exteriors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T14:41:42Z
prince,Junk Removal,https://homestars.com/on/prince/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
prince,Renovation Cleaning,https://homestars.com/on/prince/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T14:41:42Z
