City,Category,Link,page_status,status_code,update_time
saint agatha,Basement Renovation,https://homestars.com/on/saint%20agatha/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Bathroom Renovation,https://homestars.com/on/saint%20agatha/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Condominium Renovations,https://homestars.com/on/saint%20agatha/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
saint agatha,Decks,https://homestars.com/on/saint%20agatha/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Demolition,https://homestars.com/on/saint%20agatha/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/saint%20agatha/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
saint agatha,Historical Restoration,https://homestars.com/on/saint%20agatha/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
saint agatha,Home Additions,https://homestars.com/on/saint%20agatha/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Home Inspection,https://homestars.com/on/saint%20agatha/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Home Office Renovation,https://homestars.com/on/saint%20agatha/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
saint agatha,Kitchen Planning & Renovation,https://homestars.com/on/saint%20agatha/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T19:04:09Z
saint agatha,Renovation Cleaning,https://homestars.com/on/saint%20agatha/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
saint agatha,Architects,https://homestars.com/on/saint%20agatha/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T19:04:09Z
