City,Category,Link,page_status,status_code,update_time
saint lin laurentides,Basement Renovation,https://homestars.com/on/saint%20lin%20laurentides/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Bathroom Renovation,https://homestars.com/on/saint%20lin%20laurentides/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Condominium Renovations,https://homestars.com/on/saint%20lin%20laurentides/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Decks,https://homestars.com/on/saint%20lin%20laurentides/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Demolition,https://homestars.com/on/saint%20lin%20laurentides/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/saint%20lin%20laurentides/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Historical Restoration,https://homestars.com/on/saint%20lin%20laurentides/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Home Additions,https://homestars.com/on/saint%20lin%20laurentides/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Home Inspection,https://homestars.com/on/saint%20lin%20laurentides/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Home Office Renovation,https://homestars.com/on/saint%20lin%20laurentides/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
saint lin laurentides,Kitchen Planning & Renovation,https://homestars.com/on/saint%20lin%20laurentides/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:45:14Z
