City,Category,Link,page_status,status_code,update_time
saint-marys,Basement Renovation,https://homestars.com/on/saint-marys/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Bathroom Renovation,https://homestars.com/on/saint-marys/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Condominium Renovations,https://homestars.com/on/saint-marys/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Decks,https://homestars.com/on/saint-marys/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Demolition,https://homestars.com/on/saint-marys/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/saint-marys/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Historical Restoration,https://homestars.com/on/saint-marys/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Home Additions,https://homestars.com/on/saint-marys/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Home Inspection,https://homestars.com/on/saint-marys/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Home Office Renovation,https://homestars.com/on/saint-marys/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Kitchen Planning & Renovation,https://homestars.com/on/saint-marys/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Renovation Cleaning,https://homestars.com/on/saint-marys/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Architects,https://homestars.com/on/saint-marys/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Builders,https://homestars.com/on/saint-marys/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Concrete Contractors,https://homestars.com/on/saint-marys/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Design/Build,https://homestars.com/on/saint-marys/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Design/Project Management,https://homestars.com/on/saint-marys/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Drafting Service,https://homestars.com/on/saint-marys/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,General Contractors,https://homestars.com/on/saint-marys/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T20:49:31Z
saint-marys,Renovation Advisors,https://homestars.com/on/saint-marys/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Structural Engineering,https://homestars.com/on/saint-marys/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Surveyors,https://homestars.com/on/saint-marys/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
saint-marys,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/saint-marys/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T20:49:31Z
