City,Category,Link,page_status,status_code,update_time
sambro head,Basement Renovation,https://homestars.com/on/sambro%20head/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T21:59:31Z
sambro head,Bathroom Renovation,https://homestars.com/on/sambro%20head/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T21:59:31Z
sambro head,Condominium Renovations,https://homestars.com/on/sambro%20head/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Decks,https://homestars.com/on/sambro%20head/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T21:59:31Z
sambro head,Demolition,https://homestars.com/on/sambro%20head/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/sambro%20head/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Historical Restoration,https://homestars.com/on/sambro%20head/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Home Additions,https://homestars.com/on/sambro%20head/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Home Inspection,https://homestars.com/on/sambro%20head/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Home Office Renovation,https://homestars.com/on/sambro%20head/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Kitchen Planning & Renovation,https://homestars.com/on/sambro%20head/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T21:59:31Z
sambro head,Renovation Cleaning,https://homestars.com/on/sambro%20head/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Architects,https://homestars.com/on/sambro%20head/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Builders,https://homestars.com/on/sambro%20head/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Concrete Contractors,https://homestars.com/on/sambro%20head/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Design/Build,https://homestars.com/on/sambro%20head/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Design/Project Management,https://homestars.com/on/sambro%20head/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,Drafting Service,https://homestars.com/on/sambro%20head/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
sambro head,General Contractors,https://homestars.com/on/sambro%20head/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-17T21:59:31Z
sambro head,Renovation Advisors,https://homestars.com/on/sambro%20head/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-17T21:59:31Z
