City,Category,Link,page_status,status_code,update_time
south frontenac,Basement Renovation,https://homestars.com/on/south%20frontenac/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Bathroom Renovation,https://homestars.com/on/south%20frontenac/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Condominium Renovations,https://homestars.com/on/south%20frontenac/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Decks,https://homestars.com/on/south%20frontenac/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T05:03:25Z
south frontenac,Demolition,https://homestars.com/on/south%20frontenac/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/south%20frontenac/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Historical Restoration,https://homestars.com/on/south%20frontenac/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Home Additions,https://homestars.com/on/south%20frontenac/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Home Inspection,https://homestars.com/on/south%20frontenac/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Home Office Renovation,https://homestars.com/on/south%20frontenac/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Kitchen Planning & Renovation,https://homestars.com/on/south%20frontenac/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Renovation Cleaning,https://homestars.com/on/south%20frontenac/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Architects,https://homestars.com/on/south%20frontenac/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Builders,https://homestars.com/on/south%20frontenac/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Concrete Contractors,https://homestars.com/on/south%20frontenac/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Design/Build,https://homestars.com/on/south%20frontenac/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Design/Project Management,https://homestars.com/on/south%20frontenac/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Drafting Service,https://homestars.com/on/south%20frontenac/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,General Contractors,https://homestars.com/on/south%20frontenac/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Renovation Advisors,https://homestars.com/on/south%20frontenac/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Structural Engineering,https://homestars.com/on/south%20frontenac/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Surveyors,https://homestars.com/on/south%20frontenac/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/south%20frontenac/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Cabinetry & Millwork,https://homestars.com/on/south%20frontenac/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Carpenters,https://homestars.com/on/south%20frontenac/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Closet & Storage Solutions,https://homestars.com/on/south%20frontenac/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:03:25Z
south frontenac,Decks,https://homestars.com/on/south%20frontenac/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T05:03:25Z
