City,Category,Link,page_status,status_code,update_time
spences bridge,Basement Renovation,https://homestars.com/on/spences%20bridge/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Bathroom Renovation,https://homestars.com/on/spences%20bridge/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Condominium Renovations,https://homestars.com/on/spences%20bridge/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Decks,https://homestars.com/on/spences%20bridge/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Demolition,https://homestars.com/on/spences%20bridge/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/spences%20bridge/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Historical Restoration,https://homestars.com/on/spences%20bridge/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Home Additions,https://homestars.com/on/spences%20bridge/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Home Inspection,https://homestars.com/on/spences%20bridge/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Home Office Renovation,https://homestars.com/on/spences%20bridge/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Kitchen Planning & Renovation,https://homestars.com/on/spences%20bridge/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Renovation Cleaning,https://homestars.com/on/spences%20bridge/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Architects,https://homestars.com/on/spences%20bridge/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Builders,https://homestars.com/on/spences%20bridge/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Concrete Contractors,https://homestars.com/on/spences%20bridge/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Design/Build,https://homestars.com/on/spences%20bridge/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Design/Project Management,https://homestars.com/on/spences%20bridge/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Drafting Service,https://homestars.com/on/spences%20bridge/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,General Contractors,https://homestars.com/on/spences%20bridge/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Renovation Advisors,https://homestars.com/on/spences%20bridge/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Structural Engineering,https://homestars.com/on/spences%20bridge/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Surveyors,https://homestars.com/on/spences%20bridge/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/spences%20bridge/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Cabinetry & Millwork,https://homestars.com/on/spences%20bridge/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Carpenters,https://homestars.com/on/spences%20bridge/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Closet & Storage Solutions,https://homestars.com/on/spences%20bridge/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Decks,https://homestars.com/on/spences%20bridge/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/spences%20bridge/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Framing,https://homestars.com/on/spences%20bridge/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/spences%20bridge/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Railings,https://homestars.com/on/spences%20bridge/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Stair Builders,https://homestars.com/on/spences%20bridge/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Woodworking,https://homestars.com/on/spences%20bridge/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Blinds Cleaning & Repairing,https://homestars.com/on/spences%20bridge/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/spences%20bridge/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Drapery & Upholstery Cleaning,https://homestars.com/on/spences%20bridge/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Duct Cleaning,https://homestars.com/on/spences%20bridge/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Fire & Water Damage Restoration,https://homestars.com/on/spences%20bridge/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,House & Apartment Cleaning,https://homestars.com/on/spences%20bridge/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,House Cleaning Exteriors,https://homestars.com/on/spences%20bridge/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Junk Removal,https://homestars.com/on/spences%20bridge/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Renovation Cleaning,https://homestars.com/on/spences%20bridge/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/spences%20bridge/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Tile and Grout Cleaning,https://homestars.com/on/spences%20bridge/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Window & Gutter Cleaning,https://homestars.com/on/spences%20bridge/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Chimney Build & Repair,https://homestars.com/on/spences%20bridge/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Chimney Sweeps,https://homestars.com/on/spences%20bridge/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Interlocking Stone,https://homestars.com/on/spences%20bridge/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Masonry & Bricklaying,https://homestars.com/on/spences%20bridge/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Tuck Pointing,https://homestars.com/on/spences%20bridge/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Waterproofing,https://homestars.com/on/spences%20bridge/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/spences%20bridge/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,"Game Rooms, Entertainment",https://homestars.com/on/spences%20bridge/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Garage Design & Organization,https://homestars.com/on/spences%20bridge/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Home Staging,https://homestars.com/on/spences%20bridge/staging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Interior Decorators,https://homestars.com/on/spences%20bridge/interior-decorators,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Interior Design,https://homestars.com/on/spences%20bridge/interior-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/spences%20bridge/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Alarm Systems,https://homestars.com/on/spences%20bridge/alarm-systems,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Appliance Repair,https://homestars.com/on/spences%20bridge/appliance-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
spences bridge,Appliance Retailers,https://homestars.com/on/spences%20bridge/appliance-retailers,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T05:23:10Z
