City,Category,Link,page_status,status_code,update_time
stratton,Basement Renovation,https://homestars.com/on/stratton/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Bathroom Renovation,https://homestars.com/on/stratton/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Condominium Renovations,https://homestars.com/on/stratton/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Decks,https://homestars.com/on/stratton/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Demolition,https://homestars.com/on/stratton/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/stratton/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Historical Restoration,https://homestars.com/on/stratton/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Home Additions,https://homestars.com/on/stratton/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Home Inspection,https://homestars.com/on/stratton/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Home Office Renovation,https://homestars.com/on/stratton/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
stratton,Kitchen Planning & Renovation,https://homestars.com/on/stratton/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T06:46:17Z
