City,Category,Link,page_status,status_code,update_time
trout-creek,Basement Renovation,https://homestars.com/on/trout-creek/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Bathroom Renovation,https://homestars.com/on/trout-creek/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Condominium Renovations,https://homestars.com/on/trout-creek/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Decks,https://homestars.com/on/trout-creek/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Demolition,https://homestars.com/on/trout-creek/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/trout-creek/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Historical Restoration,https://homestars.com/on/trout-creek/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Home Additions,https://homestars.com/on/trout-creek/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Home Inspection,https://homestars.com/on/trout-creek/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T13:18:21Z
trout-creek,Home Office Renovation,https://homestars.com/on/trout-creek/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Kitchen Planning & Renovation,https://homestars.com/on/trout-creek/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Renovation Cleaning,https://homestars.com/on/trout-creek/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Architects,https://homestars.com/on/trout-creek/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Builders,https://homestars.com/on/trout-creek/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Concrete Contractors,https://homestars.com/on/trout-creek/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Design/Build,https://homestars.com/on/trout-creek/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Design/Project Management,https://homestars.com/on/trout-creek/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Drafting Service,https://homestars.com/on/trout-creek/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,General Contractors,https://homestars.com/on/trout-creek/general-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Renovation Advisors,https://homestars.com/on/trout-creek/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Structural Engineering,https://homestars.com/on/trout-creek/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Surveyors,https://homestars.com/on/trout-creek/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/trout-creek/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Cabinetry & Millwork,https://homestars.com/on/trout-creek/cabinetry-millwork,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Carpenters,https://homestars.com/on/trout-creek/carpenters,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Closet & Storage Solutions,https://homestars.com/on/trout-creek/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Decks,https://homestars.com/on/trout-creek/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/trout-creek/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Framing,https://homestars.com/on/trout-creek/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/trout-creek/kitchen-bathroom-cabinets-design,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Railings,https://homestars.com/on/trout-creek/railings,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Stair Builders,https://homestars.com/on/trout-creek/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Woodworking,https://homestars.com/on/trout-creek/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Blinds Cleaning & Repairing,https://homestars.com/on/trout-creek/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/trout-creek/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Drapery & Upholstery Cleaning,https://homestars.com/on/trout-creek/drapery-upholstery-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Duct Cleaning,https://homestars.com/on/trout-creek/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Fire & Water Damage Restoration,https://homestars.com/on/trout-creek/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,House & Apartment Cleaning,https://homestars.com/on/trout-creek/house-apartment-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,House Cleaning Exteriors,https://homestars.com/on/trout-creek/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Junk Removal,https://homestars.com/on/trout-creek/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Renovation Cleaning,https://homestars.com/on/trout-creek/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/trout-creek/septic-tank-cleaning-repair-installation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Tile and Grout Cleaning,https://homestars.com/on/trout-creek/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Window & Gutter Cleaning,https://homestars.com/on/trout-creek/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Chimney Build & Repair,https://homestars.com/on/trout-creek/chimney-build-repair,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Chimney Sweeps,https://homestars.com/on/trout-creek/chimney-sweeps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Interlocking Stone,https://homestars.com/on/trout-creek/interlocking-stone,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Masonry & Bricklaying,https://homestars.com/on/trout-creek/masonry-bricklaying,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Tuck Pointing,https://homestars.com/on/trout-creek/chimney-tuck-pointing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Waterproofing,https://homestars.com/on/trout-creek/waterproofing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/trout-creek/bathroom-kitchen-fixtures-accessories,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,"Game Rooms, Entertainment",https://homestars.com/on/trout-creek/game-rooms-entertainment,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Garage Design & Organization,https://homestars.com/on/trout-creek/garage-design-organization,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Home Staging,https://homestars.com/on/trout-creek/staging,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
trout-creek,Interior Decorators,https://homestars.com/on/trout-creek/interior-decorators,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T13:18:21Z
