City,Category,Link,page_status,status_code,update_time
tuscarora,Basement Renovation,https://homestars.com/on/tuscarora/basement-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Bathroom Renovation,https://homestars.com/on/tuscarora/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Condominium Renovations,https://homestars.com/on/tuscarora/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Decks,https://homestars.com/on/tuscarora/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Demolition,https://homestars.com/on/tuscarora/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/tuscarora/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Historical Restoration,https://homestars.com/on/tuscarora/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Home Additions,https://homestars.com/on/tuscarora/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Home Inspection,https://homestars.com/on/tuscarora/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Home Office Renovation,https://homestars.com/on/tuscarora/home-office-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Kitchen Planning & Renovation,https://homestars.com/on/tuscarora/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Renovation Cleaning,https://homestars.com/on/tuscarora/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Architects,https://homestars.com/on/tuscarora/architects,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Builders,https://homestars.com/on/tuscarora/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Concrete Contractors,https://homestars.com/on/tuscarora/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Design/Build,https://homestars.com/on/tuscarora/design-build,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Design/Project Management,https://homestars.com/on/tuscarora/design-project-management,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Drafting Service,https://homestars.com/on/tuscarora/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,General Contractors,https://homestars.com/on/tuscarora/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Renovation Advisors,https://homestars.com/on/tuscarora/renovation-advisors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Structural Engineering,https://homestars.com/on/tuscarora/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Surveyors,https://homestars.com/on/tuscarora/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/tuscarora/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Cabinetry & Millwork,https://homestars.com/on/tuscarora/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Carpenters,https://homestars.com/on/tuscarora/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,Closet & Storage Solutions,https://homestars.com/on/tuscarora/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Decks,https://homestars.com/on/tuscarora/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-15T19:04:00Z
tuscarora,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/tuscarora/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
tuscarora,Framing,https://homestars.com/on/tuscarora/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T19:04:00Z
