City,Category,Link,page_status,status_code,update_time
verner,Basement Renovation,https://homestars.com/on/verner/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Bathroom Renovation,https://homestars.com/on/verner/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Condominium Renovations,https://homestars.com/on/verner/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Decks,https://homestars.com/on/verner/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Demolition,https://homestars.com/on/verner/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/verner/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Historical Restoration,https://homestars.com/on/verner/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Home Additions,https://homestars.com/on/verner/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Home Inspection,https://homestars.com/on/verner/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Home Office Renovation,https://homestars.com/on/verner/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Kitchen Planning & Renovation,https://homestars.com/on/verner/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Renovation Cleaning,https://homestars.com/on/verner/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Architects,https://homestars.com/on/verner/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Builders,https://homestars.com/on/verner/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Concrete Contractors,https://homestars.com/on/verner/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Design/Build,https://homestars.com/on/verner/design-build,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Design/Project Management,https://homestars.com/on/verner/design-project-management,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Drafting Service,https://homestars.com/on/verner/drafting-service,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,General Contractors,https://homestars.com/on/verner/general-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Renovation Advisors,https://homestars.com/on/verner/renovation-advisors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Structural Engineering,https://homestars.com/on/verner/structural-engineering,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Surveyors,https://homestars.com/on/verner/surveyors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Bathroom & Kitchen - Fixtures & Accessories,https://homestars.com/on/verner/bathroom-kitchen-fixtures-accessories,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Cabinetry & Millwork,https://homestars.com/on/verner/cabinetry-millwork,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Carpenters,https://homestars.com/on/verner/carpenters,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Closet & Storage Solutions,https://homestars.com/on/verner/closet-storage-solutions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Decks,https://homestars.com/on/verner/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/verner/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Framing,https://homestars.com/on/verner/framing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Kitchen & Bathroom - Cabinets & Design,https://homestars.com/on/verner/kitchen-bathroom-cabinets-design,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Railings,https://homestars.com/on/verner/railings,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Stair Builders,https://homestars.com/on/verner/stair-builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Woodworking,https://homestars.com/on/verner/woodworking,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Blinds Cleaning & Repairing,https://homestars.com/on/verner/blinds-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Carpet & Rug Cleaning & Repairing,https://homestars.com/on/verner/carpet-rug-cleaning-repairing,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Drapery & Upholstery Cleaning,https://homestars.com/on/verner/drapery-upholstery-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Duct Cleaning,https://homestars.com/on/verner/duct-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Fire & Water Damage Restoration,https://homestars.com/on/verner/fire-water-damage-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,House & Apartment Cleaning,https://homestars.com/on/verner/house-apartment-cleaning,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,House Cleaning Exteriors,https://homestars.com/on/verner/house-cleaning-exteriors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Junk Removal,https://homestars.com/on/verner/junk-removal,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Renovation Cleaning,https://homestars.com/on/verner/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,"Septic Tank Cleaning, Repair & Installation",https://homestars.com/on/verner/septic-tank-cleaning-repair-installation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T15:40:53Z
verner,Tile and Grout Cleaning,https://homestars.com/on/verner/tile-and-grout-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
verner,Window & Gutter Cleaning,https://homestars.com/on/verner/window-gutter-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T15:40:53Z
