City,Category,Link,page_status,status_code,update_time
williams lake,Basement Renovation,https://homestars.com/on/williams%20lake/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Bathroom Renovation,https://homestars.com/on/williams%20lake/bathroom-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Condominium Renovations,https://homestars.com/on/williams%20lake/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Decks,https://homestars.com/on/williams%20lake/patios-decks,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Demolition,https://homestars.com/on/williams%20lake/demolition,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/williams%20lake/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Historical Restoration,https://homestars.com/on/williams%20lake/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Home Additions,https://homestars.com/on/williams%20lake/home-additions,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Home Inspection,https://homestars.com/on/williams%20lake/home-inspection,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Home Office Renovation,https://homestars.com/on/williams%20lake/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Kitchen Planning & Renovation,https://homestars.com/on/williams%20lake/kitchen-planning-renovation,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Renovation Cleaning,https://homestars.com/on/williams%20lake/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Architects,https://homestars.com/on/williams%20lake/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-18T21:01:40Z
williams lake,Builders,https://homestars.com/on/williams%20lake/builders,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
williams lake,Concrete Contractors,https://homestars.com/on/williams%20lake/concrete-contractors,"{""category"":""Success"",""reason"":""OK"",""message"":""Success: (200) OK""}",,2022-11-18T21:01:40Z
